"team","teamId","playedGames","goalDifference","points","rank"
"West Bromwich Albion FC",74,20,21,45,1
"Leeds United AFC",341,20,20,43,2
"Fulham FC",63,20,11,35,3
"Bristol City FC",387,20,5,35,4
"Nottingham Forest FC",351,19,10,33,5
"Sheffield Wednesday FC",345,20,9,32,6
"Preston North End FC",1081,20,6,31,7
"Cardiff City FC",715,20,3,31,8
"Brentford FC",402,20,14,30,9
"Blackburn Rovers FC",59,20,0,30,10
"Swansea City AFC",72,20,0,30,11
"Hull City AFC",322,20,5,29,12
"Birmingham City FC",332,20,-4,28,13
"Queens Park Rangers FC",69,20,-7,28,14
"Millwall FC",384,20,-2,27,15
"Derby County FC",342,20,-6,25,16
"Charlton Athletic FC",348,20,-1,23,17
"Reading FC",355,19,-2,21,18
"Middlesbrough FC",343,20,-10,20,19
"Luton Town FC",389,20,-14,20,20
"Huddersfield Town AFC",394,20,-11,18,21
"Wigan Athletic FC",75,20,-15,16,22
"Stoke City FC",70,20,-14,14,23
"Barnsley FC",357,20,-18,12,24
