"","HA","vs","played","sched","cumulative"
"1","H","Ful","yes","0.05","0.05"
"2","A","ShW","yes","0.20","0.25"
"3","H","Cha","yes","-0.45","-0.20"
"4","A","Bir","yes","0.18","-0.02"
"5","H","Lut","yes","-0.61","-0.63"
"6","A","Wig","yes","-0.03","-0.66"
"7","H","Lee","yes","0.26","-0.39"
"8","A","Not","yes","0.45","0.06"
"9","H","Bre","yes","0.01","0.06"
"10","H","Der","yes","-0.35","-0.28"
"11","A","PNE","yes","0.37","0.09"
"12","H","Swa","yes","-0.16","-0.07"
"13","A","WBA","yes","0.60","0.53"
"14","A","Hud","yes","-0.02","0.51"
"15","H","Bri","yes","-0.08","0.43"
"16","H","Sto","yes","-0.48","-0.05"
"17","A","Bla","yes","0.30","0.25"
"18","A","Mid","yes","-0.06","0.19"
"19","H","Hul","yes","-0.43","-0.23"
"20","A","Car","yes","0.26","0.03"
"21","H","Rea","yes","-0.32","-0.29"
"22","H","QPR","yes","-0.26","-0.55"
"23","A","Mil","yes","0.29","-0.26"
"24","H","WBA","yes","0.31","0.05"
"25","A","Swa","yes","0.26","0.31"
"26","A","Der","yes","0.10","0.41"
"27","H","Hud","yes","-0.48","-0.07"
"28","A","Bri","yes","0.32","0.25"
"29","H","PNE","yes","-0.01","0.24"
"30","A","Cha","yes","0.01","0.24"
"31","H","ShW","yes","-0.23","0.01"
"32","H","Bir","yes","-0.25","-0.24"
"33","A","Ful","yes","0.42","0.18"
"34","H","Mid","yes","-0.52","-0.34"
"35","A","Hul","yes","0.03","-0.31"
"36","A","Rea","no","0.12","-0.19"
"37","H","Car","no","-0.16","-0.34"
"38","A","QPR","no","0.18","-0.16"
"39","H","Mil","no","-0.13","-0.29"
"40","H","Bla","no","-0.12","-0.40"
"41","A","Sto","no","-0.01","-0.42"
"42","A","Lut","no","-0.14","-0.56"
"43","H","Wig","no","-0.49","-1.05"
"44","A","Lee","no","0.57","-0.48"
"45","H","Not","no","0.09","-0.39"
"46","A","Bre","no","0.39","0.00"
