"","HA","vs","played","sched","cumulative"
"1","H","Bir","yes","-0.26","-0.26"
"2","A","Mid","yes","0.02","-0.24"
"3","H","Hul","yes","-0.31","-0.55"
"4","A","Lee","yes","0.51","-0.03"
"5","A","Cha","yes","-0.04","-0.07"
"6","H","Der","yes","-0.12","-0.20"
"7","A","PNE","yes","0.19","-0.01"
"8","H","Sto","yes","-0.21","-0.22"
"9","A","Bar","yes","-0.03","-0.24"
"10","H","Bri","yes","-0.13","-0.38"
"11","A","Not","yes","0.23","-0.14"
"12","H","Mil","yes","-0.08","-0.22"
"13","A","Swa","yes","0.24","0.02"
"14","A","QPR","yes","0.09","0.10"
"15","H","Hud","yes","-0.25","-0.15"
"16","A","Wig","yes","0.10","-0.05"
"17","H","Rea","yes","-0.21","-0.26"
"18","A","Bla","yes","0.15","-0.11"
"19","H","Lut","yes","-0.25","-0.36"
"20","A","ShW","yes","0.06","-0.30"
"21","H","Car","yes","-0.02","-0.32"
"22","H","Ful","yes","0.09","-0.23"
"23","A","WBA","yes","0.39","0.16"
"24","H","Swa","yes","-0.05","0.11"
"25","A","Mil","yes","0.21","0.32"
"26","A","Bri","yes","0.15","0.47"
"27","H","QPR","yes","-0.19","0.28"
"28","A","Hud","yes","-0.00","0.28"
"29","H","Not","yes","-0.06","0.22"
"30","A","Hul","yes","-0.08","0.15"
"31","H","Mid","yes","-0.23","-0.09"
"32","H","Lee","yes","0.23","0.14"
"33","A","Bir","yes","-0.01","0.13"
"34","H","Bla","yes","-0.13","-0.01"
"35","A","Lut","yes","-0.00","-0.01"
"36","A","Car","yes","0.28","0.27"
"37","H","ShW","yes","-0.21","0.07"
"38","A","Ful","yes","0.39","0.45"
"39","H","WBA","yes","0.09","0.55"
"40","A","Rea","yes","0.06","0.61"
"41","H","Wig","yes","-0.18","0.43"
"42","H","Cha","yes","-0.28","0.15"
"43","A","Der","yes","0.16","0.31"
"44","H","PNE","yes","-0.10","0.21"
"45","A","Sto","yes","0.06","0.27"
"46","H","Bar","yes","-0.27","0.00"
"47","A","Swa","yes","0.24","0.24"
"48","H","Swa","yes","-0.05","0.19"
"49","H","Ful","yes","0.09","0.28"
