"","HA","vs","played","sched","cumulative"
"1","H","Lee","yes","0.19","0.19"
"2","A","Bir","yes","0.14","0.33"
"3","H","QPR","yes","-0.19","0.14"
"4","A","Der","yes","0.12","0.26"
"5","A","Hul","yes","0.03","0.29"
"6","H","Mid","yes","-0.33","-0.05"
"7","A","Sto","yes","-0.01","-0.06"
"8","H","Swa","yes","-0.12","-0.18"
"9","A","PNE","yes","0.29","0.11"
"10","A","Bre","yes","0.32","0.42"
"11","H","Rea","yes","-0.21","0.22"
"12","A","Lut","yes","-0.10","0.11"
"13","H","Cha","yes","-0.32","-0.20"
"14","H","Wig","yes","-0.28","-0.48"
"15","A","Bar","yes","-0.12","-0.60"
"16","A","Car","yes","0.20","-0.40"
"17","H","Not","yes","0.01","-0.39"
"18","A","WBA","yes","0.49","0.11"
"19","H","Hud","yes","-0.29","-0.18"
"20","A","Ful","yes","0.37","0.19"
"21","H","Mil","yes","-0.07","0.11"
"22","H","Bla","yes","-0.10","0.01"
"23","A","ShW","yes","0.13","0.14"
"24","A","Cha","yes","-0.01","0.12"
"25","H","Lut","yes","-0.39","-0.26"
"26","H","Bre","yes","-0.01","-0.28"
"27","A","Wig","yes","0.03","-0.24"
"28","H","Bar","yes","-0.40","-0.64"
"29","A","Rea","yes","0.12","-0.53"
"30","A","QPR","yes","0.13","-0.39"
"31","H","Bir","yes","-0.18","-0.58"
"32","H","Der","yes","-0.20","-0.78"
"33","A","Lee","yes","0.50","-0.28"
"34","H","WBA","yes","0.19","-0.10"
"35","A","Hud","yes","0.02","-0.08"
"36","A","Mil","yes","0.25","0.18"
"37","H","Ful","no","0.05","0.23"
"38","A","Bla","no","0.22","0.45"
"39","H","ShW","no","-0.19","0.26"
"40","A","Not","no","0.34","0.59"
"41","H","Car","no","-0.13","0.47"
"42","H","Hul","no","-0.28","0.18"
"43","A","Mid","no","-0.03","0.15"
"44","H","Sto","no","-0.31","-0.17"
"45","A","Swa","no","0.21","0.04"
"46","H","PNE","no","-0.04","-0.00"
