"","HA","vs","played","sched","cumulative"
"1","A","Bla","yes","0.39","0.39"
"2","H","Sto","yes","-0.56","-0.17"
"3","A","Bar","yes","-0.18","-0.35"
"4","H","Not","yes","0.04","-0.30"
"5","H","Bre","yes","-0.05","-0.35"
"6","A","Rea","yes","0.28","-0.07"
"7","H","Bir","yes","-0.48","-0.55"
"8","A","Wig","yes","-0.08","-0.62"
"9","H","Lee","yes","0.18","-0.44"
"10","H","Swa","yes","-0.18","-0.63"
"11","A","Ful","yes","0.49","-0.14"
"12","H","Der","yes","-0.46","-0.60"
"13","A","Bri","yes","0.46","-0.14"
"14","A","WBA","yes","0.59","0.44"
"15","H","PNE","yes","-0.12","0.32"
"16","A","Mil","yes","0.43","0.75"
"17","H","Car","yes","-0.20","0.55"
"18","A","Lut","yes","-0.15","0.40"
"19","H","ShW","yes","-0.22","0.19"
"20","A","Mid","yes","0.18","0.37"
"21","H","Hud","yes","-0.57","-0.20"
"22","H","Hul","yes","-0.33","-0.53"
"23","A","QPR","yes","0.29","-0.25"
"24","H","Bri","yes","-0.11","-0.35"
"25","A","Der","yes","0.18","-0.17"
"26","A","Swa","yes","0.40","0.23"
"27","H","WBA","yes","0.10","0.32"
"28","A","PNE","yes","0.45","0.77"
"29","H","Ful","yes","-0.06","0.71"
"30","H","Bar","no","-0.80","-0.09"
"31","A","Sto","no","0.08","-0.01"
"32","A","Not","no","0.55","0.54"
"33","H","Bla","no","-0.20","0.34"
"34","H","Lut","no","-0.78","-0.43"
"35","A","ShW","no","0.38","-0.05"
"36","A","Hud","no","0.07","0.02"
"37","H","Mid","no","-0.46","-0.44"
"38","A","Hul","no","0.29","-0.15"
"39","H","QPR","no","-0.33","-0.48"
"40","A","Car","no","0.39","-0.09"
"41","H","Mil","no","-0.15","-0.24"
"42","A","Bre","no","0.50","0.26"
"43","H","Rea","no","-0.34","-0.08"
"44","A","Bir","no","0.16","0.08"
"45","H","Wig","no","-0.71","-0.63"
"46","A","Lee","no","0.63","-0.00"
