"","HA","vs","played","sched","cumulative"
"1","H","Der","yes","-0.47","-0.47"
"2","A","QPR","yes","0.29","-0.18"
"3","H","Ful","yes","-0.13","-0.31"
"4","A","Car","yes","0.38","0.07"
"5","H","Rea","yes","-0.27","-0.19"
"6","A","Lut","yes","-0.15","-0.35"
"7","H","ShW","yes","-0.18","-0.53"
"8","A","WBA","yes","0.67","0.15"
"9","H","Mil","yes","-0.14","0.00"
"10","A","Sto","yes","-0.07","-0.07"
"11","H","Hul","yes","-0.17","-0.24"
"12","A","Bla","yes","0.32","0.08"
"13","H","Mid","yes","-0.38","-0.30"
"14","H","Bar","yes","-0.82","-1.12"
"15","A","Bre","yes","0.53","-0.59"
"16","A","PNE","yes","0.41","-0.18"
"17","H","Bir","yes","-0.54","-0.72"
"18","H","Swa","yes","-0.16","-0.88"
"19","A","Bri","yes","0.37","-0.51"
"20","H","Lee","yes","0.28","-0.23"
"21","A","Cha","yes","0.08","-0.15"
"22","A","Wig","yes","-0.09","-0.24"
"23","H","Not","yes","0.02","-0.22"
"24","A","Mid","yes","0.25","0.03"
"25","H","Bla","yes","-0.30","-0.27"
"26","H","Sto","yes","-0.72","-0.99"
"27","A","Bar","no","-0.18","-1.17"
"28","H","Bre","no","-0.00","-1.17"
"29","A","Hul","no","0.42","-0.76"
"30","A","Ful","no","0.44","-0.31"
"31","H","QPR","no","-0.34","-0.65"
"32","H","Car","no","-0.22","-0.87"
"33","A","Der","no","0.18","-0.69"
"34","A","Swa","no","0.42","-0.26"
"35","H","Bri","no","-0.23","-0.50"
"36","H","Cha","no","-0.57","-1.07"
"37","A","Lee","no","0.69","-0.38"
"38","H","Wig","no","-0.74","-1.12"
"39","A","Not","no","0.54","-0.58"
"40","A","Bir","no","0.12","-0.47"
"41","H","PNE","no","-0.18","-0.64"
"42","A","Rea","no","0.35","-0.30"
"43","H","Lut","no","-0.80","-1.10"
"44","A","ShW","no","0.41","-0.69"
"45","H","WBA","no","0.25","-0.43"
"46","A","Mil","no","0.43","-0.00"
