"","HA","vs","played","sched","cumulative"
"1","A","Swa","yes","0.28","0.28"
"2","H","Rea","yes","-0.25","0.03"
"3","A","Bre","yes","0.42","0.45"
"4","H","Bla","yes","-0.12","0.32"
"5","H","Bri","yes","-0.11","0.21"
"6","A","Mil","yes","0.27","0.48"
"7","H","Wig","yes","-0.36","0.13"
"8","A","Lut","yes","-0.14","-0.01"
"9","H","Car","yes","-0.12","-0.14"
"10","H","ShW","yes","-0.28","-0.41"
"11","A","Hud","yes","-0.02","-0.43"
"12","H","QPR","yes","-0.24","-0.68"
"13","A","Not","yes","0.39","-0.29"
"14","H","Der","yes","-0.19","-0.48"
"15","A","Ful","yes","0.40","-0.08"
"16","H","WBA","yes","0.21","0.13"
"17","A","Mid","yes","-0.03","0.10"
"18","H","PNE","yes","-0.09","0.00"
"19","A","Bar","yes","-0.13","-0.13"
"20","H","Sto","yes","-0.41","-0.53"
"21","A","Lee","yes","0.56","0.03"
"22","A","Cha","yes","-0.01","0.01"
"23","H","Bir","yes","-0.27","-0.25"
"24","H","Not","yes","0.02","-0.23"
"25","A","QPR","yes","0.17","-0.07"
"26","A","ShW","yes","0.14","0.07"
"27","H","Ful","yes","0.03","0.11"
"28","A","Der","yes","0.22","0.32"
"29","H","Hud","yes","-0.44","-0.12"
"30","H","Bre","yes","0.06","-0.06"
"31","A","Rea","yes","0.16","0.10"
"32","A","Bla","yes","0.27","0.38"
"33","H","Swa","yes","-0.12","0.26"
"34","A","PNE","yes","0.30","0.56"
"35","H","Bar","yes","-0.55","0.00"
"36","H","Lee","yes","0.26","0.26"
"37","A","Sto","yes","0.02","0.28"
"38","H","Cha","yes","-0.44","-0.16"
"39","A","Bir","no","0.15","-0.01"
"40","H","Mid","no","-0.45","-0.46"
"41","A","WBA","no","0.53","0.07"
"42","A","Bri","no","0.28","0.35"
"43","H","Mil","no","-0.12","0.22"
"44","A","Wig","no","0.06","0.29"
"45","H","Lut","no","-0.56","-0.27"
"46","A","Car","no","0.27","0.00"
