"","HA","vs","played","sched","cumulative"
"1","A","Lut","yes","-0.11","-0.11"
"2","H","Bre","yes","0.15","0.04"
"3","A","Bla","yes","0.23","0.27"
"4","H","Wig","yes","-0.28","-0.01"
"5","H","Mil","yes","-0.16","-0.16"
"6","A","Bri","yes","0.22","0.06"
"7","H","Rea","yes","-0.28","-0.22"
"8","A","Car","yes","0.32","0.09"
"9","H","ShW","yes","-0.30","-0.21"
"10","H","PNE","yes","-0.14","-0.35"
"11","A","Bir","yes","0.06","-0.29"
"12","H","WBA","yes","0.23","-0.06"
"13","A","Hud","yes","0.01","-0.05"
"14","H","Ful","yes","0.09","0.04"
"15","A","Der","yes","0.25","0.29"
"16","A","QPR","yes","0.13","0.42"
"17","H","Hul","yes","-0.44","-0.03"
"18","H","Bar","yes","-0.53","-0.56"
"19","A","Lee","yes","0.55","-0.00"
"20","H","Cha","yes","-0.43","-0.44"
"21","A","Not","yes","0.38","-0.05"
"22","A","Swa","yes","0.29","0.24"
"23","H","Sto","yes","-0.43","-0.19"
"24","H","Hud","yes","-0.41","-0.60"
"25","A","WBA","yes","0.54","-0.06"
"26","A","PNE","yes","0.26","0.20"
"27","H","Der","yes","-0.15","0.06"
"28","A","Ful","yes","0.44","0.50"
"29","H","Bir","yes","-0.36","0.14"
"30","H","Bla","yes","-0.17","-0.03"
"31","A","Bre","yes","0.48","0.46"
"32","A","Wig","yes","0.14","0.59"
"33","H","Lut","yes","-0.52","0.07"
"34","A","Bar","yes","-0.12","-0.05"
"35","H","Lee","yes","0.24","0.19"
"36","H","Not","yes","0.02","0.21"
"37","A","Cha","yes","-0.01","0.20"
"38","H","Swa","yes","-0.10","0.09"
"39","A","Sto","yes","-0.01","0.08"
"40","A","Hul","yes","-0.03","0.05"
"41","H","QPR","yes","-0.29","-0.24"
"42","A","Mil","yes","0.24","0.01"
"43","H","Bri","no","-0.18","-0.17"
"44","A","Rea","no","0.13","-0.04"
"45","H","Car","no","-0.07","-0.11"
"46","A","ShW","no","0.11","0.00"
