"","HA","vs","played","sched","cumulative"
"1","H","PNE","yes","-0.06","-0.06"
"2","A","WBA","yes","0.75","0.68"
"3","H","ShW","yes","-0.15","0.53"
"4","A","Ful","yes","0.50","1.04"
"5","A","Mid","yes","-0.10","0.93"
"6","H","Hul","yes","-0.27","0.67"
"7","A","Bla","yes","0.30","0.96"
"8","H","QPR","yes","-0.27","0.69"
"9","A","Hud","yes","-0.12","0.57"
"10","A","Lut","yes","-0.05","0.53"
"11","H","Lee","yes","0.32","0.85"
"12","A","Bre","yes","0.37","1.22"
"13","H","Car","yes","-0.18","1.04"
"14","H","Sto","yes","-0.63","0.41"
"15","A","Rea","yes","0.16","0.57"
"16","H","Cha","yes","-0.34","0.23"
"17","A","Swa","yes","0.39","0.62"
"18","H","Wig","yes","-0.57","0.05"
"19","A","Bir","yes","0.22","0.27"
"20","H","Not","yes","0.09","0.36"
"21","A","Bri","no","0.47","0.82"
"22","A","Der","no","0.21","1.03"
"23","H","Bar","no","-0.72","0.31"
"24","A","Car","no","0.34","0.65"
"25","H","Bre","no","-0.15","0.50"
"26","H","Lut","no","-0.52","-0.02"
"27","A","Sto","no","-0.20","-0.22"
"28","H","Rea","no","-0.35","-0.57"
"29","A","Lee","no","0.70","0.13"
"30","A","ShW","no","0.37","0.50"
"31","H","WBA","no","0.41","0.90"
"32","H","Ful","no","0.01","0.92"
"33","A","PNE","no","0.44","1.36"
"34","A","Wig","no","-0.12","1.24"
"35","H","Bir","no","-0.30","0.94"
"36","H","Bri","no","-0.03","0.91"
"37","A","Not","no","0.55","1.46"
"38","H","Der","no","-0.31","1.16"
"39","A","Bar","no","-0.35","0.80"
"40","H","Swa","no","-0.13","0.68"
"41","A","Cha","no","0.18","0.86"
"42","H","Mid","no","-0.56","0.29"
"43","A","Hul","no","0.26","0.55"
"44","H","Bla","no","-0.23","0.32"
"45","A","QPR","no","0.25","0.57"
"46","H","Hud","no","-0.57","-0.00"
