"","HA","vs","played","sched","cumulative"
"1","H","QPR","yes","-0.26","-0.26"
"2","A","Cha","yes","0.31","0.05"
"3","H","Der","yes","-0.32","-0.27"
"4","A","PNE","yes","0.60","0.33"
"5","H","Lee","yes","0.39","0.71"
"6","A","Bir","yes","0.32","1.04"
"7","H","Bri","yes","0.04","1.08"
"8","A","Bre","yes","0.48","1.55"
"9","H","Not","yes","0.24","1.79"
"10","H","Hud","yes","-0.82","0.98"
"11","A","Swa","yes","0.53","1.51"
"12","H","Ful","yes","-0.03","1.48"
"13","A","ShW","yes","0.40","1.87"
"14","A","Mil","yes","0.36","2.23"
"15","H","WBA","yes","0.41","2.63"
"16","A","Bar","yes","-0.64","1.99"
"17","H","Wig","yes","-0.76","1.23"
"18","A","Car","yes","0.32","1.55"
"19","H","Bla","no","-0.46","1.09"
"20","A","Hul","no","0.33","1.42"
"21","H","Lut","no","-0.76","0.66"
"22","H","Rea","no","-0.58","0.08"
"23","A","Mid","no","-0.19","-0.11"
"24","H","ShW","no","-0.21","-0.32"
"25","A","Ful","no","0.51","0.19"
"26","A","Hud","no","-0.09","0.10"
"27","H","Mil","no","-0.27","-0.17"
"28","A","WBA","no","0.74","0.58"
"29","H","Swa","no","0.01","0.58"
"30","A","Der","no","0.32","0.90"
"31","H","Cha","no","-0.34","0.56"
"32","H","PNE","no","0.13","0.69"
"33","A","QPR","no","0.36","1.05"
"34","H","Car","no","-0.32","0.73"
"35","A","Bla","no","0.22","0.95"
"36","A","Lut","no","-0.03","0.92"
"37","H","Hul","no","-0.31","0.61"
"38","A","Rea","no","0.12","0.73"
"39","H","Mid","no","-0.92","-0.19"
"40","A","Wig","no","-0.04","-0.23"
"41","H","Bar","no","-1.32","-1.55"
"42","A","Lee","no","0.73","-0.81"
"43","H","Bir","no","-0.32","-1.13"
"44","A","Bri","no","0.55","-0.58"
"45","H","Bre","no","-0.08","-0.66"
"46","A","Not","no","0.66","0.00"
