"","HA","vs","played","sched","cumulative"
"1","H","Hul","yes","-0.24","-0.24"
"2","A","Der","yes","0.16","-0.08"
"3","H","PNE","yes","-0.08","-0.16"
"4","A","QPR","yes","0.28","0.12"
"5","H","Bir","yes","-0.23","-0.11"
"6","A","Lee","yes","0.69","0.59"
"7","H","Not","yes","0.00","0.59"
"8","A","Bri","yes","0.44","1.03"
"9","H","Rea","yes","-0.37","0.66"
"10","A","Cha","yes","0.04","0.70"
"11","H","Sto","yes","-0.53","0.16"
"12","A","Bar","yes","-0.34","-0.17"
"13","H","Bre","yes","-0.18","-0.36"
"14","H","Car","yes","-0.16","-0.52"
"15","A","Wig","yes","-0.16","-0.68"
"16","A","ShW","yes","0.39","-0.29"
"17","H","Mil","yes","-0.17","-0.46"
"18","A","Hud","yes","-0.02","-0.49"
"19","H","Ful","yes","-0.10","-0.58"
"20","A","WBA","yes","0.74","0.16"
"21","H","Bla","no","-0.18","-0.02"
"22","H","Mid","no","-0.45","-0.47"
"23","A","Lut","no","-0.05","-0.51"
"24","A","Bre","no","0.31","-0.20"
"25","H","Bar","no","-0.65","-0.85"
"26","H","Cha","no","-0.41","-1.25"
"27","A","Car","no","0.33","-0.92"
"28","H","Wig","no","-0.54","-1.46"
"29","A","Sto","no","-0.15","-1.61"
"30","A","PNE","no","0.41","-1.20"
"31","H","Der","no","-0.32","-1.51"
"32","H","QPR","no","-0.21","-1.73"
"33","A","Hul","no","0.25","-1.47"
"34","H","Hud","no","-0.45","-1.93"
"35","A","Ful","no","0.40","-1.53"
"36","A","Bla","no","0.31","-1.22"
"37","H","WBA","no","0.39","-0.82"
"38","A","Mid","no","-0.01","-0.84"
"39","H","Lut","no","-0.47","-1.31"
"40","A","Mil","no","0.33","-0.98"
"41","H","ShW","no","-0.11","-1.09"
"42","A","Bir","no","0.26","-0.83"
"43","H","Lee","no","0.30","-0.52"
"44","A","Not","no","0.49","-0.04"
"45","H","Bri","no","-0.05","-0.09"
"46","A","Rea","no","0.09","0.00"
