"","HA","vs","played","sched","cumulative"
"1","A","Not","yes","0.27","0.27"
"2","H","Mil","yes","-0.09","0.19"
"3","A","Lut","yes","-0.04","0.14"
"4","H","Rea","yes","-0.16","-0.01"
"5","A","Der","yes","0.16","0.15"
"6","H","Bla","yes","-0.08","0.07"
"7","A","Ful","yes","0.29","0.35"
"8","H","Hud","yes","-0.23","0.12"
"9","A","QPR","yes","0.09","0.21"
"10","A","Lee","yes","0.42","0.63"
"11","H","Car","yes","-0.04","0.59"
"12","A","Mid","yes","-0.01","0.57"
"13","H","Bar","yes","-0.28","0.30"
"14","H","Cha","yes","-0.21","0.09"
"15","A","Sto","yes","0.01","0.10"
"16","A","Hul","yes","-0.02","0.08"
"17","H","ShW","yes","-0.16","-0.07"
"18","H","Bri","yes","-0.08","-0.15"
"19","A","PNE","yes","0.18","0.03"
"20","H","Swa","yes","-0.10","-0.07"
"21","A","Wig","yes","0.04","-0.03"
"22","A","Bir","yes","0.10","0.07"
"23","H","Bre","yes","0.04","0.11"
"24","A","Bar","yes","-0.07","0.03"
"25","H","Mid","yes","-0.23","-0.20"
"26","H","Lee","yes","0.13","-0.07"
"27","A","Cha","yes","0.01","-0.05"
"28","H","Sto","yes","-0.22","-0.27"
"29","A","Car","yes","0.23","-0.03"
"30","H","Lut","yes","-0.26","-0.29"
"31","A","Mil","yes","0.18","-0.11"
"32","A","Rea","yes","0.09","-0.02"
"33","H","Not","yes","-0.00","-0.02"
"34","A","Bri","yes","0.19","0.17"
"35","H","PNE","yes","-0.09","0.08"
"36","H","Wig","yes","-0.19","-0.11"
"37","A","Swa","yes","0.16","0.05"
"38","H","Bir","yes","-0.15","-0.10"
"39","A","Bre","yes","0.33","0.22"
"40","A","ShW","no","0.09","0.31"
"41","H","Hul","no","-0.24","0.08"
"42","H","Der","no","-0.10","-0.02"
"43","A","Bla","no","0.18","0.16"
"44","H","Ful","no","0.01","0.17"
"45","A","Hud","no","-0.01","0.16"
"46","H","QPR","no","-0.16","-0.00"
