"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Lut","yes",0,"1.78","-0.05","-0.05"
"2","A","Rea","yes",0,"1.28","0.24","0.19"
"3","H","Cov","yes",1,"2.33","-0.38","-0.20"
"4","A","Mid","yes",0,"1.41","0.16","-0.03"
"5","H","Bri","yes",1,"1.69","-0.00","-0.04"
"6","A","Sto","yes",1,"1.53","0.09","0.06"
"7","A","Mil","yes",1,"1.79","-0.06","-0.00"
"8","H","QPR","yes",3,"1.86","-0.10","-0.11"
"9","H","Wat","yes",3,"1.74","-0.03","-0.14"
"10","A","Car","yes",0,"1.83","-0.09","-0.22"
"11","A","Der","yes",3,"1.90","-0.13","-0.35"
"12","H","Not","yes",3,"1.84","-0.09","-0.44"
"13","H","Bre","yes",0,"1.32","0.21","-0.23"
"14","A","Bla","yes",0,"1.73","-0.03","-0.26"
"15","A","Bir","yes",3,"2.09","-0.24","-0.49"
"16","H","Bou","yes",0,"1.49","0.12","-0.38"
"17","H","Wyc","yes",3,"2.31","-0.37","-0.75"
"18","A","ShW","yes",3,"1.72","-0.02","-0.77"
"19","H","PNE","yes",3,"1.61","0.04","-0.72"
"20","A","Swa","yes",0,"1.23","0.27","-0.45"
"21","H","Hud","yes",3,"2.20","-0.31","-0.75"
"22","A","Rot","yes",3,"2.18","-0.30","-1.05"
"23","A","Nor","yes",0,"0.96","0.43","-0.62"
"24","H","Swa","yes",0,"1.34","0.21","-0.42"
"25","A","Wat","yes",0,"0.51","0.70","0.28"
"26","H","Car","yes",1,"1.38","0.18","0.46"
"27","A","Not","yes",1,"1.90","-0.12","0.34"
"28","A","Bre","yes",3,"1.22","0.28","0.62"
"29","H","Bla","yes",3,"1.93","-0.15","0.47"
"30","A","Bri","yes",3,"1.96","-0.16","0.30"
"31","H","Sto","yes",3,"1.89","-0.12","0.18"
"32","H","Mil","yes",3,"1.59","0.05","0.24"
"33","A","QPR","yes",3,"1.51","0.10","0.34"
"34","H","Bir","yes",3,"1.70","-0.01","0.33"
"35","H","Der","yes",1,"2.09","-0.24","0.10"
"36","A","Bou","yes",3,"1.10","0.35","0.44"
"37","A","Wyc","yes",3,"2.10","-0.25","0.20"
"38","H","ShW","yes",0,"2.32","-0.38","-0.18"
"39","H","Rea","yes",1,"1.69","-0.00","-0.18"
"40","A","Lut","yes",3,"1.59","0.06","-0.12"
"41","H","Mid","yes",3,"1.91","-0.13","-0.25"
"42","A","Cov","yes",0,"1.46","0.13","-0.12"
"43","A","Hud","no",NA,"1.63","0.03","-0.09"
"44","H","Rot","no",NA,"1.91","-0.13","-0.22"
"45","A","PNE","no",NA,"2.12","-0.26","-0.48"
"46","H","Nor","no",NA,"0.88","0.48","-0.00"
