"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","ShU","yes",3,1,"1.17","0.03","0.03"
"2","H","Sto","yes",1,0,"1.20","0.00","0.03"
"3","H","Bou","yes",0,-2,"0.92","0.24","0.27"
"4","A","Lut","yes",3,5,"0.93","0.23","0.50"
"5","A","Bar","yes",1,0,"1.62","-0.34","0.16"
"6","H","Der","yes",3,2,"1.67","-0.38","-0.23"
"7","H","Ful","yes",0,-3,"0.68","0.44","0.21"
"8","A","Pet","yes",0,-3,"1.22","-0.01","0.20"
"9","H","PNE","yes",1,0,"1.54","-0.28","-0.08"
"10","A","QPR","yes",0,-2,"0.89","0.26","0.18"
"11","H","Not","yes",0,-3,"0.92","0.24","0.42"
"12","A","WBA","yes",0,-1,"0.60","0.50","0.92"
"13","A","Hud","yes",1,0,"0.81","0.32","1.25"
"14","H","Swa","yes",3,1,"1.39","-0.15","1.09"
"15","A","Mid","yes",3,2,"0.86","0.28","1.38"
"16","H","Bri","yes",3,3,"1.51","-0.25","1.13"
"17","H","Rea","yes",0,-1,"1.39","-0.15","0.97"
"18","A","Hul","yes",0,-2,"1.38","-0.15","0.83"
"19","A","Cov","yes",1,0,"0.82","0.32","1.15"
"20","H","Bpl","yes",3,1,"1.44","-0.19","0.96"
"21","A","Mil","yes",0,-2,"0.96","0.21","1.16"
"22","H","Car","yes",1,0,"1.30","-0.08","1.09"
"23","A","BbR","yes",0,-4,"0.62","0.48","1.57"
"24","H","QPR","yes",0,-1,"0.89","0.26","1.83"
"25","A","PNE","yes",1,0,"1.07","0.11","1.94"
"26","A","Ful","yes",0,-4,"0.65","0.46","2.41"
"27","H","Bar","yes",3,1,"2.22","-0.84","1.57"
"28","H","Pet","yes",1,0,"2.18","-0.81","0.76"
"29","A","Der","no",NA,NA,"0.80","0.33","1.09"
"30","H","ShU","no",NA,NA,"1.20","0.01","1.10"
"31","A","Bou","no",NA,NA,"0.86","0.29","1.38"
"32","H","Lut","no",NA,NA,"1.28","-0.06","1.32"
"33","A","Sto","no",NA,NA,"1.11","0.08","1.40"
"34","A","Rea","no",NA,NA,"1.47","-0.22","1.18"
"35","H","Hud","no",NA,NA,"1.28","-0.06","1.12"
"36","A","Bri","no",NA,NA,"1.18","0.02","1.14"
"37","H","Hul","no",NA,NA,"1.50","-0.25","0.89"
"38","H","Mid","no",NA,NA,"1.27","-0.05","0.84"
"39","A","Swa","no",NA,NA,"1.07","0.11","0.95"
"40","H","WBA","no",NA,NA,"1.35","-0.12","0.84"
"41","A","Not","no",NA,NA,"1.22","-0.01","0.82"
"42","H","Cov","no",NA,NA,"1.34","-0.11","0.71"
"43","A","Bpl","no",NA,NA,"1.09","0.10","0.81"
"44","H","Mil","no",NA,NA,"1.55","-0.29","0.52"
"45","A","Car","no",NA,NA,"1.87","-0.55","-0.03"
"46","H","BbR","no",NA,NA,"1.17","0.03","0.00"
