"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","WBA","yes",1,0,"1.94","-0.06","-0.06"
"2","A","Not","yes",3,1,"1.96","-0.08","-0.14"
"3","A","Bir","yes",3,2,"1.95","-0.07","-0.21"
"4","H","Bpl","yes",1,0,"1.87","-0.03","-0.24"
"5","A","Hul","yes",1,0,"2.12","-0.16","-0.39"
"6","H","Bar","yes",3,3,"2.53","-0.39","-0.78"
"7","H","QPR","yes",3,1,"1.49","0.18","-0.60"
"8","A","Car","yes",3,1,"2.29","-0.25","-0.85"
"9","H","Lut","yes",3,1,"1.75","0.04","-0.81"
"10","A","Pet","yes",1,0,"2.10","-0.15","-0.96"
"11","H","ShU","yes",3,1,"1.55","0.15","-0.82"
"12","A","Bri","yes",3,2,"1.86","-0.02","-0.84"
"13","A","Sto","yes",3,1,"1.80","0.01","-0.82"
"14","H","Hud","yes",3,3,"1.77","0.03","-0.79"
"15","A","Rea","yes",3,2,"2.21","-0.21","-1.01"
"16","H","PNE","yes",0,-1,"1.72","0.06","-0.95"
"17","H","Swa","yes",3,4,"2.02","-0.10","-1.05"
"18","A","Der","yes",0,-1,"1.54","0.15","-0.90"
"19","A","Mil","yes",1,0,"1.60","0.12","-0.77"
"20","H","Cov","yes",1,0,"1.81","0.01","-0.76"
"21","A","Ful","yes",1,0,"1.36","0.26","-0.51"
"22","H","BbR","yes",0,-2,"1.71","0.06","-0.44"
"23","A","Mid","yes",0,-1,"1.48","0.19","-0.25"
"24","A","QPR","yes",3,1,"1.61","0.12","-0.14"
"25","H","Car","yes",3,3,"1.79","0.02","-0.12"
"26","A","Lut","yes",0,-1,"1.68","0.08","-0.04"
"27","H","Hul","yes",0,-1,"2.01","-0.10","-0.14"
"28","A","Bar","yes",3,1,"2.26","-0.24","-0.38"
"29","H","Bir","yes",3,2,"2.00","-0.10","-0.48"
"30","A","Bpl","yes",3,1,"1.83","-0.01","-0.48"
"31","H","Not","no",NA,NA,"1.41","0.23","-0.25"
"32","A","Swa","no",NA,NA,"1.75","0.04","-0.21"
"33","H","Sto","no",NA,NA,"1.72","0.06","-0.15"
"34","A","PNE","no",NA,NA,"1.91","-0.05","-0.20"
"35","H","Pet","no",NA,NA,"2.54","-0.39","-0.59"
"36","H","Der","no",NA,NA,"2.18","-0.20","-0.79"
"37","H","Rea","no",NA,NA,"1.98","-0.09","-0.87"
"38","A","Hud","no",NA,NA,"1.57","0.14","-0.73"
"39","H","Bri","no",NA,NA,"2.08","-0.14","-0.87"
"40","A","WBA","no",NA,NA,"1.47","0.20","-0.68"
"41","A","ShU","no",NA,NA,"1.83","-0.00","-0.68"
"42","H","Mid","no",NA,NA,"1.77","0.03","-0.65"
"43","A","Cov","no",NA,NA,"1.64","0.10","-0.55"
"44","H","Ful","no",NA,NA,"1.05","0.42","-0.12"
"45","A","BbR","no",NA,NA,"1.39","0.24","0.12"
"46","H","Mil","no",NA,NA,"2.04","-0.12","-0.00"
