"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Bpl","yes",1,0,"1.49","-0.23","-0.23"
"2","A","Mid","yes",0,-1,"0.83","0.32","0.09"
"3","A","Rea","yes",3,1,"1.42","-0.17","-0.08"
"4","H","Swa","yes",0,-1,"1.45","-0.19","-0.27"
"5","A","Car","yes",3,1,"1.84","-0.51","-0.78"
"6","H","PNE","yes",1,0,"1.45","-0.19","-0.97"
"7","H","Lut","yes",1,0,"1.34","-0.10","-1.08"
"8","A","QPR","yes",3,1,"0.85","0.30","-0.78"
"9","H","Ful","yes",1,0,"0.72","0.41","-0.37"
"10","A","Mil","yes",0,-1,"0.93","0.24","-0.13"
"11","A","Pet","yes",3,1,"1.18","0.03","-0.10"
"12","H","Bou","yes",0,-2,"0.96","0.21","0.10"
"13","H","Not","yes",0,-1,"0.98","0.20","0.30"
"14","A","WBA","yes",0,-3,"0.68","0.44","0.74"
"15","H","Bar","yes",3,1,"2.26","-0.86","-0.12"
"16","A","Bir","yes",0,-3,"1.18","0.03","-0.09"
"17","A","Cov","yes",0,-1,"0.79","0.35","0.26"
"18","H","BbR","yes",1,0,"1.22","-0.00","0.26"
"19","H","Sto","yes",3,1,"1.26","-0.04","0.22"
"20","A","ShU","yes",0,-2,"1.13","0.07","0.29"
"21","H","Der","yes",3,1,"1.73","-0.42","-0.13"
"22","A","Hul","yes",1,0,"1.35","-0.11","-0.23"
"23","H","Hud","yes",0,-1,"1.33","-0.10","-0.33"
"24","H","QPR","yes",0,-1,"0.94","0.22","-0.11"
"25","H","Mil","yes",3,1,"1.61","-0.33","-0.43"
"26","A","Ful","yes",0,-4,"0.62","0.49","0.06"
"27","H","Car","yes",3,1,"1.36","-0.12","-0.06"
"28","A","Lut","yes",0,-1,"0.90","0.26","0.20"
"29","A","PNE","no",NA,NA,"1.04","0.14","0.34"
"30","A","Bpl","no",NA,NA,"1.05","0.14","0.48"
"31","H","Rea","no",NA,NA,"1.45","-0.20","0.29"
"32","A","Swa","no",NA,NA,"1.03","0.15","0.44"
"33","H","Mid","no",NA,NA,"1.33","-0.09","0.35"
"34","H","Cov","no",NA,NA,"1.40","-0.15","0.20"
"35","A","Not","no",NA,NA,"1.18","0.03","0.23"
"36","H","Bir","no",NA,NA,"1.54","-0.27","-0.04"
"37","A","BbR","no",NA,NA,"0.60","0.51","0.47"
"38","A","Bar","no",NA,NA,"1.58","-0.30","0.17"
"39","H","WBA","no",NA,NA,"1.40","-0.15","0.02"
"40","A","Bou","no",NA,NA,"0.82","0.32","0.34"
"41","H","Pet","no",NA,NA,"2.22","-0.83","-0.49"
"42","A","Sto","no",NA,NA,"1.07","0.12","-0.37"
"43","H","ShU","no",NA,NA,"1.26","-0.03","-0.41"
"44","A","Der","no",NA,NA,"0.78","0.36","-0.04"
"45","H","Hul","no",NA,NA,"1.56","-0.29","-0.33"
"46","A","Hud","no",NA,NA,"0.81","0.33","-0.00"
