"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Not","yes",3,1,"1.18","0.16","0.16"
"2","A","Bar","yes",0,-1,"1.50","-0.07","0.09"
"3","A","Bpl","yes",3,1,"1.15","0.18","0.27"
"4","H","Rea","yes",3,1,"1.81","-0.30","-0.03"
"5","A","QPR","yes",0,-2,"1.14","0.19","0.16"
"6","H","Mid","yes",3,2,"1.68","-0.20","-0.04"
"7","H","Car","yes",3,1,"1.54","-0.10","-0.14"
"8","A","Mil","yes",1,0,"0.85","0.39","0.26"
"9","H","Pet","yes",3,3,"2.29","-0.64","-0.38"
"10","A","Lut","yes",0,-5,"0.97","0.31","-0.07"
"11","H","Ful","yes",3,3,"0.92","0.34","0.27"
"12","A","BbR","yes",1,0,"0.84","0.40","0.67"
"13","A","PNE","yes",0,-1,"1.25","0.11","0.78"
"14","H","Der","yes",1,0,"2.14","-0.52","0.26"
"15","A","Hul","yes",3,1,"1.79","-0.28","-0.02"
"16","H","Swa","yes",0,-1,"1.75","-0.25","-0.27"
"17","H","Bri","yes",3,1,"1.87","-0.34","-0.60"
"18","A","ShU","yes",1,0,"0.99","0.29","-0.31"
"19","H","Bir","yes",1,0,"1.79","-0.27","-0.58"
"20","A","Bou","yes",1,0,"0.93","0.33","-0.25"
"21","H","WBA","yes",0,-1,"1.75","-0.25","-0.50"
"22","A","Hud","yes",1,0,"0.94","0.33","-0.17"
"23","H","Mil","yes",0,-1,"1.69","-0.20","-0.38"
"24","A","Pet","yes",3,3,"1.67","-0.19","-0.57"
"25","H","QPR","yes",0,-1,"1.39","0.01","-0.56"
"26","H","Sto","yes",3,1,"1.70","-0.21","-0.77"
"27","A","Mid","yes",0,-1,"0.78","0.45","-0.33"
"28","H","Bpl","yes",1,0,"1.65","-0.18","-0.51"
"29","A","Rea","yes",3,1,"1.52","-0.08","-0.59"
"30","A","Car","yes",0,-2,"1.50","-0.07","-0.67"
"31","H","Bar","yes",3,1,"2.35","-0.68","-1.35"
"32","A","Bri","yes",3,1,"1.33","0.05","-1.30"
"33","H","PNE","yes",1,0,"1.59","-0.14","-1.44"
"34","A","Swa","yes",0,-2,"1.12","0.20","-1.23"
"35","H","Lut","yes",0,-1,"1.35","0.04","-1.20"
"36","H","ShU","yes",3,3,"1.46","-0.04","-1.24"
"37","H","Hul","yes",0,-2,"1.63","-0.16","-1.40"
"38","A","Der","yes",1,0,"1.00","0.29","-1.11"
"39","H","BbR","no",NA,NA,"1.65","-0.18","-1.29"
"40","A","Not","no",NA,NA,"1.13","0.19","-1.10"
"41","A","Ful","no",NA,NA,"0.80","0.43","-0.67"
"42","A","Bir","no",NA,NA,"1.48","-0.05","-0.72"
"43","H","Bou","no",NA,NA,"1.05","0.25","-0.47"
"44","A","WBA","no",NA,NA,"0.90","0.36","-0.11"
"45","H","Hud","no",NA,NA,"1.38","0.02","-0.10"
"46","A","Sto","no",NA,NA,"1.27","0.10","-0.00"
