"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Der","yes",1,0,"0.94","0.38","0.38"
"2","H","Ful","yes",0,-4,"1.37","0.10","0.48"
"3","H","PNE","yes",3,1,"2.23","-0.47","0.00"
"4","A","ShU","yes",3,1,"1.33","0.12","0.13"
"5","H","Rea","yes",3,4,"2.02","-0.33","-0.21"
"6","A","Sto","yes",0,-1,"0.57","0.63","0.42"
"7","A","Bpl","yes",3,3,"1.12","0.26","0.68"
"8","H","Not","yes",0,-2,"1.63","-0.07","0.61"
"9","A","Swa","yes",0,-1,"0.88","0.42","1.03"
"10","H","BbR","yes",3,1,"2.12","-0.40","0.63"
"11","A","Lut","yes",1,0,"1.00","0.34","0.97"
"12","H","Hul","yes",3,2,"2.08","-0.37","0.60"
"13","H","Bir","yes",1,0,"2.01","-0.33","0.28"
"14","A","Bou","yes",0,-3,"0.62","0.59","0.87"
"15","H","Mil","yes",3,1,"2.06","-0.36","0.51"
"16","A","Pet","yes",1,0,"1.03","0.32","0.83"
"17","A","Car","yes",0,-1,"1.64","-0.08","0.75"
"18","H","WBA","yes",3,1,"1.91","-0.26","0.48"
"19","A","QPR","yes",0,-1,"0.68","0.55","1.04"
"20","H","Mid","no",NA,NA,"2.16","-0.42","0.61"
"21","A","Bar","no",NA,NA,"1.55","-0.02","0.59"
"22","H","Cov","no",NA,NA,"2.19","-0.45","0.14"
"23","A","Bri","no",NA,NA,"1.26","0.17","0.31"
"24","H","Bpl","no",NA,NA,"1.96","-0.29","0.02"
"25","A","Not","no",NA,NA,"1.39","0.08","0.10"
"26","A","BbR","no",NA,NA,"0.69","0.55","0.65"
"27","H","Swa","no",NA,NA,"2.03","-0.34","0.31"
"28","A","Rea","no",NA,NA,"1.12","0.26","0.58"
"29","H","Sto","no",NA,NA,"2.09","-0.38","0.20"
"30","H","Der","no",NA,NA,"2.27","-0.50","-0.30"
"31","A","PNE","no",NA,NA,"0.97","0.36","0.06"
"32","H","ShU","no",NA,NA,"2.06","-0.36","-0.30"
"33","A","Ful","no",NA,NA,"0.55","0.63","0.34"
"34","H","Car","no",NA,NA,"1.89","-0.25","0.09"
"35","A","Bir","no",NA,NA,"1.11","0.27","0.36"
"36","H","Pet","no",NA,NA,"2.55","-0.68","-0.32"
"37","A","WBA","no",NA,NA,"0.57","0.62","0.30"
"38","A","Mil","no",NA,NA,"0.89","0.41","0.71"
"39","H","Bou","no",NA,NA,"1.45","0.04","0.75"
"40","A","Hul","no",NA,NA,"1.51","0.00","0.76"
"41","H","Lut","no",NA,NA,"2.12","-0.40","0.36"
"42","H","QPR","no",NA,NA,"2.03","-0.34","0.02"
"43","A","Mid","no",NA,NA,"1.19","0.22","0.24"
"44","H","Bar","no",NA,NA,"2.52","-0.66","-0.42"
"45","A","Cov","no",NA,NA,"0.49","0.68","0.26"
"46","H","Bri","no",NA,NA,"1.90","-0.26","0.00"
