"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Pet","yes",3,3,"2.27","-0.70","-0.70"
"2","A","WBA","yes",0,-1,"0.75","0.44","-0.26"
"3","A","Bar","yes",3,1,"1.81","-0.35","-0.61"
"4","H","Bir","yes",0,-5,"1.52","-0.13","-0.74"
"5","H","ShU","yes",1,0,"1.20","0.11","-0.64"
"6","A","BbR","yes",1,0,"0.83","0.38","-0.25"
"7","A","Bri","yes",1,0,"1.47","-0.10","-0.35"
"8","H","Swa","yes",1,0,"1.50","-0.12","-0.47"
"9","A","Bou","yes",0,-1,"0.90","0.33","-0.15"
"10","H","Cov","yes",3,5,"1.55","-0.16","-0.31"
"11","H","Hud","yes",1,0,"1.46","-0.09","-0.40"
"12","A","Mil","yes",3,2,"1.04","0.22","-0.18"
"13","A","Der","yes",1,0,"1.05","0.21","0.03"
"14","H","Hul","yes",3,1,"1.73","-0.29","-0.26"
"15","A","PNE","yes",0,-2,"1.20","0.10","-0.16"
"16","H","Mid","yes",3,2,"1.30","0.03","-0.13"
"17","H","Sto","yes",0,-1,"1.34","0.00","-0.13"
"18","A","QPR","yes",0,-2,"1.09","0.19","0.06"
"19","A","Not","yes",1,0,"1.54","-0.15","-0.10"
"20","H","Car","yes",0,-1,"1.30","0.03","-0.07"
"21","A","Bpl","yes",3,3,"1.37","-0.02","-0.09"
"22","H","Ful","yes",1,0,"0.85","0.37","0.28"
"23","H","Bou","no",NA,NA,"0.89","0.34","0.61"
"24","A","Rea","no",NA,NA,"1.47","-0.09","0.52"
"25","A","ShU","no",NA,NA,"1.48","-0.11","0.41"
"26","H","BbR","no",NA,NA,"1.19","0.11","0.52"
"27","A","Pet","no",NA,NA,"1.29","0.04","0.56"
"28","H","Bar","no",NA,NA,"2.16","-0.62","-0.05"
"29","A","Bir","no",NA,NA,"1.38","-0.03","-0.08"
"30","H","WBA","no",NA,NA,"1.35","-0.01","-0.09"
"31","A","Sto","no",NA,NA,"1.24","0.08","-0.01"
"32","H","Der","no",NA,NA,"1.66","-0.24","-0.25"
"33","A","Mid","no",NA,NA,"1.09","0.19","-0.06"
"34","H","QPR","no",NA,NA,"1.05","0.22","0.16"
"35","H","PNE","no",NA,NA,"1.55","-0.16","0.00"
"36","A","Hul","no",NA,NA,"1.63","-0.21","-0.21"
"37","H","Mil","no",NA,NA,"1.58","-0.18","-0.39"
"38","A","Hud","no",NA,NA,"0.93","0.30","-0.09"
"39","H","Not","no",NA,NA,"1.07","0.20","0.11"
"40","A","Car","no",NA,NA,"1.97","-0.47","-0.36"
"41","H","Bpl","no",NA,NA,"1.52","-0.13","-0.49"
"42","A","Ful","no",NA,NA,"0.88","0.34","-0.15"
"43","H","Rea","no",NA,NA,"1.39","-0.04","-0.19"
"44","H","Bri","no",NA,NA,"1.44","-0.08","-0.27"
"45","A","Swa","no",NA,NA,"1.35","-0.01","-0.28"
"46","A","Cov","no",NA,NA,"0.96","0.28","-0.00"
