"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Bou","yes",1,0,"1.11","0.36","0.36"
"2","H","Lut","yes",3,1,"2.09","-0.19","0.17"
"3","H","ShU","yes",3,4,"1.95","-0.11","0.06"
"4","A","BbR","yes",3,1,"0.87","0.50","0.56"
"5","A","Pet","yes",3,1,"1.43","0.19","0.75"
"6","H","Mil","yes",1,0,"2.30","-0.31","0.44"
"7","H","Der","yes",1,0,"2.39","-0.37","0.07"
"8","A","PNE","yes",1,0,"1.30","0.26","0.33"
"9","H","QPR","yes",3,1,"2.00","-0.14","0.19"
"10","A","Car","yes",3,4,"2.08","-0.19","0.00"
"11","A","Sto","yes",0,-1,"1.08","0.38","0.39"
"12","H","Bir","yes",3,1,"2.20","-0.26","0.13"
"13","A","Swa","yes",0,-1,"1.44","0.18","0.30"
"14","H","Bri","yes",3,3,"2.14","-0.22","0.08"
"15","A","Ful","yes",0,-3,"0.99","0.43","0.51"
"16","H","Hul","yes",3,1,"2.29","-0.31","0.21"
"17","H","Mid","yes",1,0,"2.11","-0.20","0.00"
"18","A","Hud","yes",0,-1,"1.10","0.37","0.38"
"19","A","Bpl","yes",1,0,"1.50","0.15","0.52"
"20","H","Not","yes",1,0,"1.69","0.03","0.55"
"21","A","Cov","yes",3,1,"0.91","0.48","1.03"
"22","H","Rea","yes",3,1,"2.08","-0.19","0.85"
"23","A","Bar","yes",1,0,"1.92","-0.09","0.75"
"24","A","Der","no",NA,NA,"1.27","0.27","1.03"
"25","H","PNE","no",NA,NA,"2.33","-0.33","0.69"
"26","H","Car","no",NA,NA,"1.95","-0.11","0.58"
"27","A","QPR","no",NA,NA,"1.12","0.36","0.94"
"28","H","Pet","no",NA,NA,"2.65","-0.51","0.43"
"29","A","Mil","no",NA,NA,"1.16","0.34","0.76"
"30","H","Bou","no",NA,NA,"1.72","0.02","0.78"
"31","A","ShU","no",NA,NA,"1.62","0.07","0.85"
"32","H","BbR","no",NA,NA,"1.94","-0.11","0.75"
"33","A","Lut","no",NA,NA,"1.45","0.17","0.92"
"34","A","Mid","no",NA,NA,"1.34","0.24","1.15"
"35","H","Swa","no",NA,NA,"2.20","-0.26","0.90"
"36","A","Hul","no",NA,NA,"1.77","-0.01","0.89"
"37","H","Hud","no",NA,NA,"2.25","-0.29","0.60"
"38","H","Ful","no",NA,NA,"1.56","0.11","0.71"
"39","A","Bri","no",NA,NA,"1.64","0.06","0.78"
"40","A","Bir","no",NA,NA,"1.42","0.19","0.96"
"41","H","Sto","no",NA,NA,"2.07","-0.18","0.78"
"42","H","Bpl","no",NA,NA,"2.18","-0.24","0.54"
"43","A","Not","no",NA,NA,"1.58","0.10","0.64"
"44","H","Cov","no",NA,NA,"2.24","-0.28","0.36"
"45","A","Rea","no",NA,NA,"1.55","0.11","0.48"
"46","H","Bar","no",NA,NA,"2.59","-0.48","-0.00"
