"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Rea","yes",3,1,1,"1.43","-0.36","-0.36"
"2","A","Sto","yes",0,-2,0,"1.44","-0.37","-0.73"
"3","H","Swa","yes",0,-1,0,"1.13","-0.07","-0.80"
"4","A","QPR","yes",3,1,1,"1.12","-0.07","-0.87"
"5","A","Bur","yes",1,0,3,"0.45","0.57","-0.30"
"6","H","BrC","yes",1,0,3,"1.18","-0.12","-0.42"
"7","H","Bbn","yes",0,-1,0,"1.08","-0.02","-0.44"
"8","A","Hud","yes",3,1,1,"1.27","-0.21","-0.65"
"9","A","Rot","yes",0,-3,0,"1.27","-0.21","-0.86"
"10","A","Mil","yes",0,-1,1,"0.70","0.33","-0.53"
"11","H","Nor","yes",0,-1,0,"0.91","0.13","-0.40"
"12","A","Sun","yes",1,0,0,"1.15","-0.09","-0.49"
"13","H","Wat","yes",3,2,3,"1.00","0.05","-0.44"
"14","A","ShU","yes",1,0,3,"0.70","0.34","-0.10"
"15","H","Hul","yes",0,-2,1,"0.95","0.09","-0.01"
"16","H","PNE","yes",3,2,4,"0.72","0.32","0.31"
"17","A","Cov","yes",3,1,2,"0.89","0.16","0.46"
"18","A","WBA","yes",0,-1,0,"0.96","0.09","0.55"
"19","H","Lut","yes",0,-1,0,"0.72","0.31","0.86"
"20","H","Mid","yes",0,-3,0,"0.96","0.09","0.95"
"21","A","Wig","yes",0,-1,1,"1.73","-0.64","0.31"
"22","H","Bir","yes",1,0,0,"1.07","-0.02","0.29"
"23","A","Car","yes",1,0,1,"1.19","-0.13","0.16"
"24","A","Hul","yes",1,0,1,"1.34","-0.28","-0.12"
"25","H","ShU","yes",0,-1,1,"0.65","0.38","0.26"
"26","H","Sun","yes",1,0,1,"0.86","0.18","0.44"
"27","A","Wat","no",NA,NA,NA,"0.84","0.20","0.64"
"28","H","Hud","no",NA,NA,NA,"1.48","-0.41","0.23"
"29","A","Bbn","no",NA,NA,NA,"0.66","0.37","0.60"
"30","A","Mid","no",NA,NA,NA,"0.94","0.11","0.70"
"31","H","Rot","no",NA,NA,NA,"1.40","-0.34","0.37"
"32","A","Swa","no",NA,NA,NA,"0.96","0.09","0.45"
"33","H","Sto","no",NA,NA,NA,"0.98","0.07","0.52"
"34","A","Rea","no",NA,NA,NA,"0.67","0.36","0.88"
"35","H","Bur","no",NA,NA,NA,"0.60","0.43","1.31"
"36","A","BrC","no",NA,NA,NA,"1.28","-0.22","1.09"
"37","H","QPR","no",NA,NA,NA,"0.92","0.12","1.21"
"38","H","Cov","no",NA,NA,NA,"1.16","-0.11","1.10"
"39","A","PNE","no",NA,NA,NA,"1.38","-0.31","0.79"
"40","H","Car","no",NA,NA,NA,"1.32","-0.25","0.53"
"41","A","Lut","no",NA,NA,NA,"1.14","-0.09","0.44"
"42","H","Wig","no",NA,NA,NA,"1.13","-0.08","0.36"
"43","H","WBA","no",NA,NA,NA,"0.98","0.06","0.43"
"44","A","Bir","no",NA,NA,NA,"1.27","-0.21","0.22"
"45","H","Mil","no",NA,NA,NA,"1.18","-0.12","0.09"
"46","A","Nor","no",NA,NA,NA,"1.15","-0.09","-0.00"
