"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Hul","yes",0,-1,1,"0.66","0.48","0.48"
"2","H","Sun","yes",0,-1,2,"1.38","-0.10","0.37"
"3","A","Wig","yes",1,0,1,"1.75","-0.39","-0.02"
"4","H","Lut","yes",3,2,2,"0.96","0.23","0.21"
"5","H","Car","yes",3,2,2,"2.15","-0.71","-0.50"
"6","A","Bpl","yes",1,0,3,"1.09","0.13","-0.37"
"7","H","Hud","yes",3,2,2,"2.61","-1.09","-1.46"
"8","A","Bbn","yes",3,1,3,"0.28","0.78","-0.68"
"9","A","Nor","yes",0,-1,2,"0.66","0.47","-0.21"
"10","A","Bur","yes",0,-1,1,"0.49","0.61","0.40"
"11","H","QPR","yes",0,-1,1,"0.90","0.28","0.68"
"12","H","Cov","yes",1,0,0,"1.75","-0.40","0.28"
"13","A","Bir","yes",0,-3,0,"1.12","0.11","0.39"
"14","H","PNE","yes",3,1,2,"1.35","-0.08","0.31"
"15","H","Mil","yes",0,-1,1,"1.89","-0.51","-0.19"
"16","A","WBA","yes",3,2,2,"1.46","-0.16","-0.36"
"17","A","Rea","yes",0,-2,0,"0.49","0.61","0.25"
"18","H","Swa","no",NA,NA,NA,"1.43","-0.14","0.11"
"19","H","ShU","no",NA,NA,NA,"1.59","-0.27","-0.16"
"20","A","Mid","no",NA,NA,NA,"1.01","0.20","0.03"
"21","H","Wat","no",NA,NA,NA,"2.18","-0.74","-0.70"
"22","A","Rot","no",NA,NA,NA,"0.81","0.35","-0.35"
"23","H","Sto","no",NA,NA,NA,"1.23","0.02","-0.33"
"24","H","WBA","no",NA,NA,NA,"2.06","-0.65","-0.97"
"25","A","Mil","no",NA,NA,NA,"0.31","0.76","-0.22"
"26","A","Cov","no",NA,NA,NA,"0.77","0.39","0.17"
"27","H","Bir","no",NA,NA,NA,"1.70","-0.36","-0.19"
"28","H","Bbn","no",NA,NA,NA,"1.81","-0.45","-0.63"
"29","A","Hud","no",NA,NA,NA,"0.96","0.24","-0.40"
"30","A","PNE","no",NA,NA,NA,"1.46","-0.17","-0.57"
"31","H","Nor","no",NA,NA,NA,"1.36","-0.08","-0.65"
"32","H","Wig","no",NA,NA,NA,"1.28","-0.02","-0.67"
"33","A","Sun","no",NA,NA,NA,"0.80","0.36","-0.31"
"34","H","Hul","no",NA,NA,NA,"1.99","-0.59","-0.89"
"35","A","Car","no",NA,NA,NA,"0.59","0.53","-0.37"
"36","H","Bpl","no",NA,NA,NA,"1.62","-0.29","-0.66"
"37","A","Lut","no",NA,NA,NA,"0.98","0.22","-0.44"
"38","A","Swa","no",NA,NA,NA,"0.56","0.55","0.12"
"39","H","Rea","no",NA,NA,NA,"1.98","-0.58","-0.47"
"40","A","Sto","no",NA,NA,NA,"1.35","-0.08","-0.54"
"41","H","Mid","no",NA,NA,NA,"2.31","-0.84","-1.39"
"42","A","Wat","no",NA,NA,NA,"0.33","0.74","-0.65"
"43","A","ShU","no",NA,NA,NA,"0.48","0.62","-0.03"
"44","H","Rot","no",NA,NA,NA,"1.96","-0.57","-0.60"
"45","H","Bur","no",NA,NA,NA,"1.31","-0.04","-0.64"
"46","A","QPR","no",NA,NA,NA,"0.45","0.64","-0.00"
