"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Nor","yes",3,1,1,"1.04","0.02","0.02"
"2","A","Rea","yes",0,-1,1,"0.70","0.34","0.36"
"3","H","Bir","yes",3,1,1,"1.33","-0.26","0.11"
"4","A","WBA","yes",1,0,0,"0.65","0.39","0.50"
"5","A","BrC","yes",0,-2,0,"0.84","0.21","0.71"
"6","H","PNE","yes",1,0,0,"0.89","0.16","0.87"
"7","H","Lut","yes",0,-1,1,"0.79","0.26","1.12"
"8","A","Mil","yes",0,-2,0,"0.66","0.38","1.51"
"9","A","Mid","yes",3,1,3,"0.53","0.50","2.01"
"10","A","Hud","yes",0,-1,0,"1.10","-0.03","1.98"
"11","H","Bur","yes",1,0,1,"0.68","0.36","2.34"
"12","H","Bbn","yes",3,1,1,"1.32","-0.24","2.10"
"13","A","Wig","yes",3,2,3,"1.45","-0.36","1.74"
"14","H","Cov","yes",0,-1,0,"1.24","-0.16","1.58"
"15","A","QPR","yes",0,-3,0,"1.15","-0.08","1.49"
"16","A","Swa","yes",0,-2,0,"0.92","0.14","1.63"
"17","H","Rot","yes",3,1,1,"1.67","-0.57","1.06"
"18","H","Wat","yes",0,-1,1,"1.30","-0.22","0.84"
"19","A","Sun","yes",3,1,1,"1.01","0.05","0.89"
"20","H","Hul","yes",0,-1,2,"1.35","-0.27","0.62"
"21","H","ShU","yes",0,-1,0,"0.81","0.24","0.86"
"22","A","Sto","yes",1,0,2,"1.06","0.01","0.87"
"23","H","Bpl","yes",1,0,1,"1.69","-0.59","0.28"
"24","H","QPR","yes",1,0,0,"1.41","-0.33","-0.05"
"25","A","Cov","yes",1,0,0,"0.68","0.36","0.31"
"26","A","Bbn","yes",0,-1,0,"0.45","0.57","0.88"
"27","H","Wig","yes",1,0,1,"1.47","-0.38","0.50"
"28","H","Mil","yes",0,-1,0,"1.13","-0.06","0.44"
"29","A","Lut","yes",0,-1,0,"0.83","0.22","0.67"
"30","A","Hul","yes",0,-1,0,"0.98","0.07","0.74"
"31","H","Mid","yes",0,-2,1,"1.02","0.04","0.78"
"32","A","Bir","yes",3,2,2,"1.09","-0.02","0.76"
"33","H","Rea","yes",3,1,1,"1.86","-0.75","0.01"
"34","A","Nor","yes",0,-2,0,"0.86","0.19","0.21"
"35","H","BrC","yes",3,2,2,"1.45","-0.37","-0.16"
"36","A","PNE","yes",0,-2,0,"1.13","-0.06","-0.22"
"37","H","WBA","yes",1,0,1,"1.33","-0.25","-0.47"
"38","H","Swa","no",NA,NA,NA,"1.41","-0.32","-0.79"
"39","A","Bpl","no",NA,NA,NA,"1.16","-0.09","-0.88"
"40","H","Sun","no",NA,NA,NA,"1.03","0.03","-0.85"
"41","A","ShU","no",NA,NA,NA,"0.52","0.51","-0.34"
"42","A","Wat","no",NA,NA,NA,"0.67","0.37","0.03"
"43","H","Sto","no",NA,NA,NA,"1.17","-0.10","-0.08"
"44","H","Hud","no",NA,NA,NA,"1.76","-0.65","-0.73"
"45","A","Bur","no",NA,NA,NA,"0.29","0.73","0.00"
