"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Sto","yes",3,2,2,"1.87","-0.25","-0.25"
"2","A","ShU","yes",0,-2,0,"0.68","0.55","0.30"
"3","H","Cov","yes",3,1,3,"2.01","-0.34","-0.04"
"4","A","Swa","yes",1,0,2,"1.16","0.23","0.19"
"5","A","Nor","yes",0,-2,0,"1.31","0.12","0.31"
"6","H","Rea","yes",0,-1,0,"2.21","-0.48","-0.17"
"7","A","Bur","yes",0,-2,0,"0.44","0.71","0.54"
"8","H","Car","yes",3,2,2,"2.18","-0.46","0.08"
"9","H","QPR","yes",0,-2,0,"1.82","-0.22","-0.14"
"10","H","Bpl","yes",3,1,2,"2.08","-0.39","-0.52"
"11","A","Bbn","yes",0,-1,1,"0.76","0.49","-0.03"
"12","A","Rot","yes",1,0,1,"1.28","0.15","0.12"
"13","H","Mid","yes",3,2,2,"1.81","-0.21","-0.09"
"14","A","BrC","yes",3,1,2,"1.32","0.12","0.02"
"15","H","Wat","yes",3,3,3,"1.83","-0.22","-0.20"
"16","H","WBA","yes",3,1,2,"1.70","-0.13","-0.33"
"17","A","Hud","yes",0,-1,0,"1.40","0.06","-0.27"
"18","A","Bir","yes",1,0,0,"1.43","0.04","-0.23"
"19","H","Hul","yes",1,0,0,"1.78","-0.19","-0.42"
"20","A","PNE","yes",3,2,4,"1.62","-0.08","-0.50"
"21","A","Sun","yes",0,-3,0,"1.25","0.16","-0.34"
"22","H","Wig","yes",1,0,1,"1.93","-0.29","-0.62"
"23","A","Wat","yes",3,2,2,"0.95","0.37","-0.26"
"24","H","BrC","yes",1,0,0,"1.85","-0.24","-0.49"
"25","H","Rot","yes",3,3,3,"2.11","-0.41","-0.90"
"26","A","Mid","yes",0,-1,0,"0.85","0.43","-0.47"
"27","A","Car","yes",3,1,1,"1.42","0.05","-0.42"
"28","H","Sun","yes",1,0,1,"1.60","-0.07","-0.49"
"29","A","QPR","no",NA,NA,NA,"1.29","0.14","-0.35"
"30","A","Cov","no",NA,NA,NA,"1.02","0.32","-0.03"
"31","H","ShU","no",NA,NA,NA,"1.37","0.09","0.05"
"32","H","Bur","no",NA,NA,NA,"1.20","0.20","0.25"
"33","A","Sto","no",NA,NA,NA,"1.48","0.01","0.26"
"34","A","Lut","no",NA,NA,NA,"1.17","0.22","0.48"
"35","H","Nor","no",NA,NA,NA,"1.50","0.00","0.48"
"36","A","Rea","no",NA,NA,NA,"0.86","0.42","0.90"
"37","H","Swa","no",NA,NA,NA,"1.82","-0.21","0.69"
"38","H","Hud","no",NA,NA,NA,"2.23","-0.49","0.20"
"39","A","WBA","no",NA,NA,NA,"1.00","0.33","0.53"
"40","H","Lut","no",NA,NA,NA,"1.37","0.08","0.62"
"41","A","Hul","no",NA,NA,NA,"1.33","0.11","0.73"
"42","H","PNE","no",NA,NA,NA,"1.38","0.08","0.81"
"43","H","Bir","no",NA,NA,NA,"1.80","-0.20","0.61"
"44","A","Wig","no",NA,NA,NA,"1.90","-0.27","0.34"
"45","A","Bpl","no",NA,NA,NA,"1.57","-0.05","0.29"
"46","H","Bbn","no",NA,NA,NA,"1.94","-0.29","-0.00"
