"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Mil","yes",0,-2,0,"0.94","0.24","0.24"
"2","H","Bpl","yes",3,2,2,"1.34","-0.08","0.16"
"3","A","Hud","yes",0,-2,1,"1.61","-0.29","-0.13"
"4","H","Mid","yes",1,0,2,"1.28","-0.02","-0.15"
"5","H","Sun","yes",0,-1,0,"0.95","0.24","0.08"
"6","A","Bbn","yes",3,1,1,"0.80","0.35","0.44"
"7","H","Swa","yes",1,0,1,"1.18","0.05","0.49"
"8","A","Rea","yes",0,-1,1,"0.97","0.22","0.70"
"9","A","Hul","yes",3,3,3,"1.67","-0.34","0.36"
"10","A","QPR","yes",1,0,0,"1.37","-0.10","0.27"
"11","H","Wat","yes",0,-4,0,"1.11","0.11","0.37"
"12","A","Bur","yes",1,0,1,"0.70","0.44","0.81"
"13","H","ShU","yes",3,2,3,"0.73","0.41","1.22"
"14","A","PNE","yes",3,2,2,"1.69","-0.36","0.87"
"15","H","Rot","yes",0,-1,0,"1.39","-0.12","0.75"
"16","H","Cov","yes",0,-2,0,"1.25","-0.00","0.75"
"17","A","Nor","yes",0,-2,1,"1.31","-0.05","0.69"
"18","A","Wig","yes",3,1,1,"1.92","-0.54","0.15"
"19","H","Bir","yes",0,-1,1,"1.13","0.09","0.24"
"20","H","Lut","yes",3,2,2,"0.98","0.21","0.45"
"21","A","WBA","yes",0,-2,0,"1.45","-0.16","0.29"
"22","H","Car","yes",1,0,2,"1.40","-0.13","0.16"
"23","A","BrC","yes",3,1,2,"1.58","-0.27","-0.10"
"24","A","Rot","yes",1,0,2,"1.55","-0.25","-0.35"
"25","H","Bur","no",NA,NA,NA,"0.79","0.36","0.01"
"26","H","PNE","no",NA,NA,NA,"0.75","0.40","0.41"
"27","A","ShU","no",NA,NA,NA,"0.92","0.26","0.66"
"28","H","Rea","no",NA,NA,NA,"1.48","-0.19","0.48"
"29","A","Swa","no",NA,NA,NA,"1.27","-0.02","0.46"
"30","A","Lut","no",NA,NA,NA,"1.56","-0.25","0.20"
"31","H","Hul","no",NA,NA,NA,"1.24","0.00","0.21"
"32","H","Hud","no",NA,NA,NA,"1.58","-0.27","-0.07"
"33","A","Bpl","no",NA,NA,NA,"1.73","-0.39","-0.46"
"34","H","Mil","no",NA,NA,NA,"1.27","-0.02","-0.48"
"35","A","Sun","no",NA,NA,NA,"1.42","-0.14","-0.62"
"36","H","Bbn","no",NA,NA,NA,"1.17","0.06","-0.56"
"37","A","Mid","no",NA,NA,NA,"1.23","0.01","-0.55"
"38","H","Nor","no",NA,NA,NA,"0.90","0.28","-0.27"
"39","A","Cov","no",NA,NA,NA,"1.04","0.17","-0.10"
"40","H","BrC","no",NA,NA,NA,"1.30","-0.04","-0.15"
"41","A","Bir","no",NA,NA,NA,"1.41","-0.13","-0.28"
"42","H","WBA","no",NA,NA,NA,"1.08","0.13","-0.14"
"43","H","Wig","no",NA,NA,NA,"1.22","0.02","-0.12"
"44","A","Car","no",NA,NA,NA,"1.48","-0.19","-0.31"
"45","H","QPR","no",NA,NA,NA,"0.96","0.23","-0.08"
"46","A","Wat","no",NA,NA,NA,"1.14","0.08","-0.00"
