"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","QPR","yes",3,4,4,"1.02","0.16","0.16"
"2","H","Ply","yes",1,0,0,"1.50","-0.24","-0.08"
"3","A","Sto","yes",0,-1,0,"1.71","-0.41","-0.48"
"4","H","Bbn","yes",0,-1,0,"1.25","-0.03","-0.51"
"5","A","Cov","yes",1,0,3,"1.29","-0.06","-0.57"
"6","H","Bir","yes",3,2,2,"1.71","-0.41","-0.98"
"7","H","WBA","yes",1,0,2,"1.02","0.16","-0.82"
"8","A","Lee","yes",0,-3,0,"0.36","0.70","-0.12"
"9","H","Mid","yes",0,-1,2,"0.84","0.31","0.19"
"10","A","Sun","yes",0,-2,0,"1.30","-0.07","0.12"
"11","A","Cdf","yes",1,0,1,"1.44","-0.19","-0.07"
"12","H","ShW","yes",3,1,1,"1.63","-0.35","-0.41"
"13","A","Swa","yes",3,1,1,"1.66","-0.36","-0.77"
"14","H","Mil","yes",1,0,2,"1.20","0.02","-0.76"
"15","A","Hud","yes",1,0,0,"1.75","-0.44","-1.20"
"16","H","Rot","yes",3,5,5,"2.34","-0.93","-2.13"
"17","A","Lei","yes",0,-2,0,"0.64","0.47","-1.66"
"18","H","Nor","yes",3,1,3,"1.26","-0.04","-1.69"
"19","A","Hul","yes",3,1,2,"1.52","-0.25","-1.95"
"20","H","Sot","yes",1,0,1,"0.61","0.50","-1.45"
"21","H","Ips","yes",0,-1,1,"0.53","0.56","-0.88"
"22","A","PNE","yes",3,4,5,"1.20","0.01","-0.87"
"23","A","Bbn","yes",3,1,2,"1.73","-0.43","-1.30"
"24","H","BrC","yes",0,-3,1,"1.13","0.07","-1.23"
"25","H","Sto","yes",1,0,1,"1.17","0.03","-1.20"
"26","A","Ply","yes",1,0,3,"1.55","-0.28","-1.48"
"27","A","QPR","yes",3,1,2,"1.82","-0.50","-1.98"
"28","A","BrC","yes",1,0,1,"1.31","-0.08","-2.05"
"29","A","ShW","yes",1,0,0,"1.58","-0.30","-2.36"
"30","H","Cdf","yes",0,-1,0,"0.93","0.23","-2.12"
"31","H","Lei","yes",0,-1,1,"0.39","0.68","-1.44"
"32","A","Nor","yes",0,-2,2,"0.74","0.39","-1.05"
"33","A","Rot","yes",3,1,1,"1.97","-0.62","-1.67"
"34","H","Hud","yes",0,-1,1,"1.43","-0.18","-1.85"
"35","A","Mil","yes",0,-1,0,"1.75","-0.44","-2.29"
"36","H","Swa","yes",1,0,1,"1.08","0.11","-2.18"
"37","H","Cov","yes",0,-1,1,"0.90","0.26","-1.91"
"38","A","Bir","yes",3,1,1,"1.40","-0.15","-2.07"
"39","H","Lee","yes",1,0,2,"0.63","0.48","-1.58"
"40","A","WBA","yes",1,0,2,"0.72","0.41","-1.18"
"41","H","PNE","no",NA,NA,NA,"0.97","0.20","-0.98"
"42","A","Ips","no",NA,NA,NA,"0.48","0.60","-0.38"
"43","A","Sot","no",NA,NA,NA,"0.85","0.30","-0.08"
"44","H","Hul","no",NA,NA,NA,"0.72","0.40","0.32"
"45","H","Sun","no",NA,NA,NA,"1.31","-0.08","0.24"
"46","A","Mid","no",NA,NA,NA,"1.51","-0.24","0.00"
