"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Lut","yes",3,3,4,"2.26","-0.11","-0.11"
"2","H","Car","yes",3,5,5,"2.35","-0.16","-0.27"
"3","A","Sun","yes",0,-1,0,"1.51","0.26","-0.01"
"4","H","Bbn","yes",1,0,1,"1.99","0.02","0.01"
"5","A","Lee","yes",3,1,1,"0.99","0.51","0.52"
"6","H","Por","yes",3,1,2,"2.42","-0.19","0.33"
"7","A","Oxf","yes",1,0,0,"2.16","-0.06","0.27"
"8","H","Ply","yes",3,1,1,"2.65","-0.31","-0.04"
"9","H","PNE","yes",1,0,0,"2.21","-0.09","-0.13"
"10","A","ShW","yes",3,2,2,"2.34","-0.15","-0.28"
"11","A","Hul","yes",1,0,1,"2.47","-0.22","-0.50"
"12","H","QPR","yes",1,0,0,"2.05","-0.01","-0.51"
"13","A","Mil","yes",0,-1,0,"2.21","-0.09","-0.59"
"14","A","WBA","yes",1,0,0,"1.84","0.10","-0.49"
"15","H","Swa","yes",3,1,1,"2.13","-0.05","-0.54"
"16","A","Bri","yes",3,1,1,"1.84","0.09","-0.45"
"17","H","Cov","yes",3,2,2,"1.81","0.11","-0.34"
"18","A","Sto","yes",3,2,2,"2.32","-0.14","-0.48"
"19","H","Mid","yes",1,0,1,"1.85","0.09","-0.39"
"20","H","Der","yes",1,0,0,"2.49","-0.23","-0.62"
"21","A","Nor","yes",3,1,2,"1.97","0.03","-0.59"
"22","H","Wat","yes",3,1,2,"2.15","-0.06","-0.65"
"23","A","ShU","yes",3,2,2,"1.37","0.32","-0.33"
"24","A","Mid","yes",1,0,0,"2.04","-0.00","-0.33"
"25","H","Sto","yes",1,0,0,"2.28","-0.12","-0.45"
"26","A","Bbn","yes",3,1,1,"1.87","0.08","-0.37"
"27","H","Sun","yes",1,0,0,"1.56","0.23","-0.13"
"28","A","Ply","yes",3,5,5,"2.25","-0.11","-0.24"
"29","H","Lee","yes",1,0,0,"1.27","0.37","0.13"
"30","A","Por","yes",1,0,0,"1.97","0.03","0.16"
"31","H","Oxf","yes",3,1,1,"2.38","-0.17","-0.01"
"32","H","Hul","yes",3,2,2,"1.96","0.03","0.02"
"33","A","PNE","yes",1,0,0,"2.02","0.00","0.03"
"34","H","ShW","yes",3,4,4,"1.78","0.13","0.15"
"35","A","Car","yes",3,1,2,"2.24","-0.10","0.05"
"36","H","Lut","no",NA,NA,NA,"2.60","-0.28","-0.23"
"37","H","WBA","no",NA,NA,NA,"1.97","0.03","-0.20"
"38","A","Swa","no",NA,NA,NA,"2.23","-0.10","-0.29"
"39","H","Bri","no",NA,NA,NA,"2.04","-0.01","-0.30"
"40","A","Cov","no",NA,NA,NA,"1.98","0.03","-0.27"
"41","A","Der","no",NA,NA,NA,"2.34","-0.15","-0.42"
"42","H","Nor","no",NA,NA,NA,"2.09","-0.03","-0.45"
"43","A","Wat","no",NA,NA,NA,"1.85","0.09","-0.36"
"44","H","ShU","no",NA,NA,NA,"1.06","0.48","0.12"
"45","A","QPR","no",NA,NA,NA,"2.23","-0.10","0.02"
"46","H","Mil","no",NA,NA,NA,"2.06","-0.02","0.00"
