"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","ShU","yes",0,-2,0,"0.73","0.33","0.33"
"2","A","Swa","yes",0,-3,0,"0.75","0.31","0.64"
"3","H","Lut","yes",3,1,1,"2.27","-1.07","-0.43"
"4","A","Oxf","yes",0,-2,1,"0.64","0.41","-0.02"
"5","A","Mid","yes",1,0,1,"0.60","0.45","0.43"
"6","H","Bbn","yes",1,0,0,"1.24","-0.13","0.30"
"7","A","Mil","yes",0,-2,1,"0.71","0.35","0.64"
"8","H","Wat","yes",3,3,3,"1.86","-0.70","-0.06"
"9","A","Bur","yes",1,0,0,"0.48","0.56","0.50"
"10","H","Cov","yes",3,1,1,"1.73","-0.58","-0.08"
"11","H","Nor","yes",1,0,2,"1.62","-0.49","-0.57"
"12","A","Ply","yes",1,0,3,"0.87","0.20","-0.36"
"13","H","Bri","yes",0,-2,1,"1.45","-0.33","-0.69"
"14","H","Sun","yes",1,0,0,"1.16","-0.06","-0.75"
"15","A","Por","yes",0,-2,1,"0.78","0.28","-0.47"
"16","H","Der","yes",1,0,1,"1.95","-0.78","-1.25"
"17","A","Sto","yes",1,0,0,"0.94","0.14","-1.11"
"18","H","WBA","yes",1,0,1,"1.19","-0.09","-1.20"
"19","A","ShW","yes",1,0,1,"0.76","0.30","-0.90"
"20","A","Car","yes",3,2,2,"1.08","0.01","-0.88"
"21","H","Lee","yes",1,0,1,"0.97","0.12","-0.77"
"22","A","QPR","yes",0,-1,1,"0.90","0.17","-0.59"
"23","H","Hul","yes",3,1,1,"1.71","-0.57","-1.16"
"24","H","ShW","yes",3,2,3,"1.18","-0.08","-1.24"
"25","A","WBA","yes",0,-2,1,"0.50","0.55","-0.69"
"26","H","Oxf","yes",1,0,1,"1.92","-0.76","-1.45"
"27","A","Lut","no",NA,NA,NA,"0.67","0.39","-1.07"
"28","A","Wat","no",NA,NA,NA,"0.31","0.72","-0.35"
"29","H","Mid","no",NA,NA,NA,"1.03","0.06","-0.30"
"30","A","Bbn","no",NA,NA,NA,"0.45","0.59","0.30"
"31","H","Mil","no",NA,NA,NA,"1.85","-0.69","-0.39"
"32","A","Nor","no",NA,NA,NA,"0.51","0.53","0.14"
"33","H","Bur","no",NA,NA,NA,"0.59","0.46","0.59"
"34","A","Cov","no",NA,NA,NA,"0.83","0.24","0.83"
"35","H","Swa","no",NA,NA,NA,"1.51","-0.38","0.45"
"36","A","ShU","no",NA,NA,NA,"0.22","0.80","1.24"
"37","A","Sun","no",NA,NA,NA,"0.20","0.82","2.06"
"38","H","Por","no",NA,NA,NA,"2.08","-0.90","1.16"
"39","A","Der","no",NA,NA,NA,"0.64","0.42","1.57"
"40","H","Sto","no",NA,NA,NA,"1.74","-0.59","0.98"
"41","H","Car","no",NA,NA,NA,"1.87","-0.71","0.27"
"42","A","Lee","no",NA,NA,NA,"0.21","0.81","1.08"
"43","H","QPR","no",NA,NA,NA,"1.46","-0.34","0.74"
"44","A","Hul","no",NA,NA,NA,"1.08","0.02","0.76"
"45","H","Ply","no",NA,NA,NA,"2.43","-1.23","-0.47"
"46","A","Bri","no",NA,NA,NA,"0.58","0.47","-0.00"
