"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Mid","yes",0,-1,0,"0.95","0.19","0.19"
"2","H","PNE","yes",3,3,3,"1.55","-0.33","-0.14"
"3","H","Car","yes",1,0,1,"1.77","-0.51","-0.65"
"4","A","WBA","yes",0,-1,0,"0.76","0.35","-0.31"
"5","H","Nor","yes",3,1,1,"1.40","-0.20","-0.51"
"6","A","Cov","yes",3,1,2,"0.89","0.24","-0.27"
"7","H","Bri","yes",1,0,1,"1.45","-0.24","-0.51"
"8","A","ShU","yes",0,-1,0,"0.46","0.61","0.10"
"9","H","Sto","yes",1,0,0,"1.66","-0.42","-0.32"
"10","A","Bbn","yes",0,-1,0,"0.79","0.33","0.01"
"11","A","ShW","yes",1,0,0,"1.34","-0.14","-0.14"
"12","H","Mil","yes",0,-1,0,"1.37","-0.17","-0.31"
"13","A","Oxf","yes",3,1,2,"1.09","0.07","-0.24"
"14","H","Wat","yes",3,1,1,"1.48","-0.26","-0.51"
"15","A","Bur","yes",0,-1,0,"0.61","0.48","-0.03"
"16","H","Lee","yes",0,-1,3,"0.64","0.45","0.42"
"17","A","Der","yes",3,1,2,"1.34","-0.14","0.27"
"18","H","Por","yes",1,0,2,"1.87","-0.61","-0.33"
"19","A","Lut","yes",1,0,1,"1.21","-0.04","-0.37"
"20","A","Ply","yes",3,1,2,"1.21","-0.03","-0.40"
"21","H","Sun","yes",0,-1,2,"0.86","0.26","-0.14"
"22","A","Hul","yes",0,-1,1,"1.64","-0.40","-0.54"
"23","H","QPR","yes",3,3,3,"1.36","-0.16","-0.70"
"24","H","Lut","yes",3,1,2,"2.18","-0.86","-1.57"
"25","A","Por","yes",0,-4,0,"0.88","0.25","-1.32"
"26","H","WBA","yes",1,0,1,"1.26","-0.08","-1.40"
"27","A","Car","yes",0,-3,0,"1.15","0.01","-1.39"
"28","H","ShU","yes",0,-1,1,"0.51","0.57","-0.82"
"29","A","Nor","yes",0,-4,1,"0.83","0.29","-0.53"
"30","H","Cov","yes",0,-2,0,"1.08","0.07","-0.46"
"31","A","Bri","yes",3,1,1,"0.77","0.34","-0.12"
"32","H","ShW","yes",0,-1,0,"1.06","0.09","-0.02"
"33","A","Sto","yes",0,-2,1,"1.31","-0.12","-0.15"
"34","H","Bbn","yes",3,3,3,"1.28","-0.10","-0.24"
"35","A","PNE","no",NA,NA,NA,"0.90","0.23","-0.02"
"36","H","Mid","no",NA,NA,NA,"1.13","0.03","0.02"
"37","A","Wat","no",NA,NA,NA,"0.77","0.34","0.35"
"38","H","Bur","no",NA,NA,NA,"0.58","0.51","0.86"
"39","A","Lee","no",NA,NA,NA,"0.29","0.75","1.61"
"40","H","Der","no",NA,NA,NA,"1.99","-0.70","0.91"
"41","H","Ply","no",NA,NA,NA,"2.21","-0.89","0.02"
"42","A","Sun","no",NA,NA,NA,"0.54","0.54","0.56"
"43","H","Hul","no",NA,NA,NA,"1.25","-0.07","0.49"
"44","A","QPR","no",NA,NA,NA,"1.18","-0.01","0.49"
"45","A","Mil","no",NA,NA,NA,"1.06","0.09","0.58"
"46","H","Oxf","no",NA,NA,NA,"1.84","-0.58","-0.00"
