"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","ShU","yes",3,3,4,"2.30","-0.55","-0.55"
"2","H","Cha","yes",1,0,0,"1.42","0.04","-0.51"
"3","A","Der","yes",1,0,1,"1.38","0.07","-0.44"
"4","H","Hul","yes",3,2,4,"1.42","0.04","-0.40"
"5","A","ShW","yes",3,3,3,"2.51","-0.69","-1.09"
"6","H","Oxf","yes",0,-2,1,"1.82","-0.23","-1.32"
"7","A","PNE","yes",1,0,0,"0.91","0.38","-0.94"
"8","H","Ips","yes",1,0,1,"1.17","0.21","-0.72"
"9","H","QPR","yes",0,-1,1,"1.44","0.03","-0.69"
"10","A","Nor","yes",3,1,1,"2.69","-0.81","-1.50"
"11","H","Sou","yes",3,2,3,"1.62","-0.09","-1.59"
"12","H","Bir","yes",3,1,1,"1.50","-0.01","-1.61"
"13","A","Sto","yes",0,-4,1,"1.04","0.30","-1.31"
"14","H","Bbn","yes",0,-1,0,"0.83","0.44","-0.87"
"15","A","Wat","yes",1,0,1,"0.93","0.37","-0.50"
"16","H","Swa","no",NA,NA,NA,"1.62","-0.09","-0.59"
"17","A","Wre","no",NA,NA,NA,"1.46","0.02","-0.57"
"18","A","Por","no",NA,NA,NA,"1.97","-0.33","-0.90"
"19","H","Mil","no",NA,NA,NA,"1.28","0.14","-0.77"
"20","H","Lei","no",NA,NA,NA,"1.33","0.11","-0.66"
"21","A","Cov","no",NA,NA,NA,"0.64","0.57","-0.09"
"22","H","Mid","no",NA,NA,NA,"1.25","0.16","0.06"
"23","A","WBA","no",NA,NA,NA,"1.30","0.13","0.19"
"24","A","Mil","no",NA,NA,NA,"1.24","0.16","0.36"
"25","H","Por","no",NA,NA,NA,"1.77","-0.20","0.16"
"26","H","PNE","no",NA,NA,NA,"1.27","0.15","0.31"
"27","A","Oxf","no",NA,NA,NA,"1.99","-0.34","-0.04"
"28","A","Ips","no",NA,NA,NA,"1.31","0.12","0.08"
"29","H","ShW","no",NA,NA,NA,"1.96","-0.32","-0.24"
"30","H","Der","no",NA,NA,NA,"1.27","0.14","-0.10"
"31","A","Hul","no",NA,NA,NA,"0.97","0.34","0.25"
"32","H","Wre","no",NA,NA,NA,"1.44","0.03","0.28"
"33","A","Swa","no",NA,NA,NA,"1.92","-0.29","-0.01"
"34","A","Bbn","no",NA,NA,NA,"2.24","-0.51","-0.52"
"35","H","Wat","no",NA,NA,NA,"2.16","-0.46","-0.98"
"36","H","Cov","no",NA,NA,NA,"0.67","0.55","-0.43"
"37","A","Lei","no",NA,NA,NA,"1.43","0.04","-0.40"
"38","A","Mid","no",NA,NA,NA,"0.68","0.54","0.15"
"39","H","WBA","no",NA,NA,NA,"1.34","0.09","0.24"
"40","A","Cha","no",NA,NA,NA,"1.09","0.27","0.51"
"41","H","ShU","no",NA,NA,NA,"1.97","-0.33","0.18"
"42","A","QPR","no",NA,NA,NA,"1.71","-0.15","0.03"
"43","H","Nor","no",NA,NA,NA,"1.94","-0.31","-0.28"
"44","A","Sou","no",NA,NA,NA,"1.71","-0.16","-0.44"
"45","A","Bir","no",NA,NA,NA,"1.18","0.21","-0.23"
"46","H","Sto","no",NA,NA,NA,"1.14","0.23","0.00"
