"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","ShW","yes",3,1,2,"2.22","-1.02","-1.02"
"2","A","PNE","yes",0,-1,1,"1.07","0.03","-1.00"
"3","A","Cha","yes",3,1,1,"1.13","-0.03","-1.02"
"4","H","Bir","yes",3,2,2,"1.55","-0.41","-1.43"
"5","A","Oxf","yes",1,0,2,"1.23","-0.12","-1.55"
"6","H","Cov","yes",1,0,0,"0.80","0.28","-1.27"
"7","A","WBA","yes",1,0,1,"0.99","0.10","-1.18"
"8","H","Wre","yes",1,0,1,"0.94","0.14","-1.03"
"9","A","Swa","yes",3,2,3,"0.86","0.22","-0.82"
"10","H","Por","yes",1,0,1,"1.51","-0.37","-1.19"
"11","A","Hul","yes",0,-1,1,"0.91","0.17","-1.02"
"12","A","Mil","yes",0,-1,0,"0.74","0.32","-0.70"
"13","H","Bbn","yes",0,-2,0,"1.09","0.01","-0.69"
"14","H","Mid","yes",1,0,1,"0.80","0.27","-0.41"
"15","A","Nor","yes",3,1,2,"1.12","-0.02","-0.44"
"16","H","Sto","yes",3,1,2,"1.40","-0.28","-0.72"
"17","A","Sou","yes",0,-3,0,"0.63","0.42","-0.29"
"18","H","ShU","yes",0,-1,2,"1.24","-0.13","-0.42"
"19","A","Der","yes",3,2,3,"0.86","0.21","-0.21"
"20","A","Bri","yes",1,0,2,"1.16","-0.06","-0.27"
"21","H","Ips","yes",3,2,3,"0.93","0.15","-0.12"
"22","A","QPR","yes",0,-3,1,"0.98","0.10","-0.02"
"23","H","Wat","yes",0,-1,1,"1.51","-0.38","-0.40"
"24","H","Der","yes",3,1,2,"1.06","0.03","-0.36"
"25","A","ShU","yes",0,-2,1,"1.05","0.04","-0.32"
"26","H","WBA","yes",3,1,2,"1.49","-0.36","-0.68"
"27","A","Cov","yes",0,-1,1,"0.37","0.66","-0.02"
"28","A","Wre","yes",1,0,1,"0.88","0.20","0.18"
"29","H","Oxf","yes",0,-1,1,"1.62","-0.48","-0.30"
"30","H","Cha","yes",0,-2,0,"1.42","-0.29","-0.59"
"31","A","Bir","yes",0,-1,1,"0.70","0.36","-0.23"
"32","H","Sou","yes",0,-1,3,"0.94","0.15","-0.08"
"33","A","Sto","yes",1,0,2,"0.97","0.12","0.03"
"34","A","Mid","yes",1,0,1,"0.75","0.32","0.35"
"35","H","Nor","yes",0,-2,0,"0.88","0.20","0.56"
"36","A","Ips","yes",1,0,1,"0.50","0.54","1.10"
"37","H","Bri","yes",3,2,2,"1.04","0.05","1.15"
"38","H","QPR","yes",0,-2,1,"1.30","-0.18","0.97"
"39","A","Wat","yes",1,0,0,"0.85","0.23","1.19"
"40","H","PNE","yes",1,0,2,"1.23","-0.12","1.07"
"41","A","ShW","yes",1,0,1,"2.27","-1.07","0.01"
"42","H","Swa","yes",0,-1,0,"1.31","-0.19","-0.19"
"43","A","Por","yes",0,-1,0,"1.13","-0.03","-0.21"
"44","H","Hul","yes",1,0,2,"0.86","0.21","-0.00"
"45","H","Mil","yes",1,0,1,"0.72","0.34","0.34"
"46","A","Bbn","no",NA,NA,NA,"1.47","-0.34","0.00"
