"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Por","yes",0,-1,0,"1.39","-0.54","-0.54"
"2","A","Hul","yes",0,-1,2,"0.55","0.39","-0.15"
"3","A","Bir","yes",0,-1,0,"0.53","0.41","0.26"
"4","H","Cov","yes",1,0,2,"0.78","0.14","0.40"
"5","H","Lei","yes",1,0,2,"1.09","-0.21","0.19"
"6","A","Bri","yes",3,2,3,"0.79","0.12","0.31"
"7","H","ShU","yes",0,-1,0,"1.18","-0.31","0.01"
"8","A","QPR","yes",1,0,0,"0.65","0.28","0.29"
"9","A","Wat","yes",0,-1,1,"0.61","0.32","0.61"
"10","H","Der","yes",3,1,1,"0.62","0.32","0.93"
"11","A","Wre","yes",0,-1,0,"0.76","0.16","1.09"
"12","A","ShW","yes",3,1,2,"2.14","-1.36","-0.27"
"13","H","Mil","yes",1,0,2,"0.81","0.10","-0.17"
"14","H","Sto","yes",0,-3,0,"0.87","0.04","-0.13"
"15","A","WBA","yes",0,-1,1,"0.82","0.09","-0.04"
"16","H","Mid","yes",1,0,1,"0.69","0.23","0.19"
"17","A","Nor","yes",1,0,1,"1.22","-0.34","-0.15"
"18","H","Ips","yes",3,1,2,"0.84","0.07","-0.08"
"19","A","Swa","yes",0,-2,0,"0.69","0.24","0.16"
"20","A","Bbn","yes",1,0,1,"1.43","-0.58","-0.42"
"21","H","PNE","yes",0,-1,1,"0.83","0.08","-0.34"
"22","A","Cha","yes",0,-1,0,"0.77","0.15","-0.18"
"23","H","Sou","yes",3,1,2,"1.09","-0.21","-0.39"
"24","H","Swa","yes",0,-1,0,"1.24","-0.37","-0.77"
"25","A","Ips","yes",0,-1,1,"0.39","0.57","-0.20"
"26","H","Bri","yes",1,0,0,"0.91","-0.01","-0.21"
"27","H","QPR","yes",1,0,0,"1.15","-0.27","-0.48"
"28","A","Lei","yes",3,1,2,"0.86","0.05","-0.42"
"29","H","Bir","yes",0,-2,0,"1.27","-0.40","-0.83"
"30","A","ShU","no",NA,0,0,"0.78","0.14","-0.68"
"31","A","Cov","no",NA,NA,NA,"0.24","0.74","0.06"
"32","H","Nor","no",NA,NA,NA,"0.97","-0.08","-0.02"
"33","A","Mid","no",NA,NA,NA,"0.34","0.63","0.61"
"34","A","Sto","no",NA,NA,NA,"0.81","0.11","0.72"
"35","H","WBA","no",NA,NA,NA,"1.46","-0.62","0.10"
"36","A","PNE","no",NA,NA,NA,"0.71","0.21","0.31"
"37","H","Bbn","no",NA,NA,NA,"0.92","-0.02","0.29"
"38","H","Cha","no",NA,NA,NA,"1.26","-0.39","-0.10"
"39","A","Sou","no",NA,NA,NA,"0.70","0.22","0.13"
"40","H","Hul","no",NA,NA,NA,"0.54","0.40","0.53"
"41","A","Por","no",NA,NA,NA,"0.83","0.08","0.61"
"42","H","Wat","no",NA,NA,NA,"1.06","-0.17","0.45"
"43","A","Der","no",NA,NA,NA,"0.94","-0.04","0.41"
"44","H","Wre","no",NA,NA,NA,"0.77","0.15","0.55"
"45","H","ShW","no",NA,NA,NA,"1.78","-0.97","-0.42"
"46","A","Mil","no",NA,NA,NA,"0.53","0.42","-0.00"
