"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","H","Wre","yes",3,1,2,"1.41","0.03","0.03"
"2","A","Ips","yes",1,0,1,"0.67","0.54","0.57"
"3","H","Sto","yes",0,-1,1,"1.63","-0.12","0.44"
"4","A","Wat","yes",1,0,2,"1.01","0.31","0.75"
"5","H","Por","yes",1,0,0,"2.11","-0.45","0.29"
"6","A","Hul","yes",0,-2,1,"1.06","0.27","0.56"
"7","H","Mid","yes",1,0,1,"1.26","0.13","0.69"
"8","A","ShU","yes",3,1,2,"1.21","0.17","0.86"
"9","A","Der","yes",1,0,1,"1.39","0.04","0.91"
"10","H","Swa","yes",1,0,0,"1.98","-0.37","0.54"
"11","A","Bri","yes",0,-2,1,"1.24","0.15","0.69"
"12","A","Bbn","yes",0,-1,1,"1.83","-0.26","0.43"
"13","H","PNE","yes",0,-2,0,"1.50","-0.03","0.40"
"14","A","QPR","yes",3,1,2,"1.14","0.21","0.61"
"15","H","ShW","yes",3,2,3,"2.44","-0.68","-0.07"
"16","A","Cha","yes",3,4,5,"1.16","0.20","0.13"
"17","H","Lei","yes",3,3,3,"1.83","-0.26","-0.12"
"18","A","Mil","yes",0,-1,2,"0.88","0.40","0.27"
"19","H","Bir","yes",3,2,3,"1.95","-0.34","-0.07"
"20","H","WBA","yes",3,1,3,"2.08","-0.43","-0.50"
"21","A","Nor","yes",0,-1,1,"1.57","-0.08","-0.58"
"22","H","Cov","yes",1,0,1,"1.42","0.02","-0.56"
"23","A","Oxf","yes",0,-1,1,"1.73","-0.19","-0.76"
"24","A","Bir","yes",1,0,1,"0.91","0.38","-0.38"
"25","H","Mil","yes",1,0,0,"1.33","0.08","-0.30"
"26","A","Mid","yes",0,-4,0,"0.58","0.60","0.30"
"27","H","Hul","yes",0,-1,1,"1.07","0.26","0.56"
"28","H","ShU","yes",3,1,1,"1.76","-0.21","0.35"
"29","A","Por","yes",1,0,1,"1.38","0.05","0.40"
"30","A","Sto","yes",3,2,2,"1.25","0.14","0.54"
"31","H","Wat","yes",3,1,1,"1.79","-0.23","0.31"
"32","A","Lei","yes",3,1,4,"1.42","0.02","0.33"
"33","H","Cha","no",NA,NA,NA,"1.93","-0.33","0.00"
"34","H","QPR","no",NA,NA,NA,"1.83","-0.26","-0.26"
"35","A","ShW","no",NA,NA,NA,"2.50","-0.72","-0.98"
"36","H","Nor","no",NA,NA,NA,"1.57","-0.08","-1.06"
"37","A","WBA","no",NA,NA,NA,"1.31","0.10","-0.96"
"38","A","Cov","no",NA,NA,NA,"0.45","0.69","-0.27"
"39","H","Oxf","no",NA,NA,NA,"2.11","-0.45","-0.72"
"40","H","Ips","no",NA,NA,NA,"1.41","0.03","-0.69"
"41","A","Wre","no",NA,NA,NA,"1.27","0.13","-0.57"
"42","H","Der","no",NA,NA,NA,"1.19","0.18","-0.38"
"43","A","Swa","no",NA,NA,NA,"1.07","0.26","-0.12"
"44","H","Bri","no",NA,NA,NA,"1.46","-0.01","-0.13"
"45","H","Bbn","no",NA,NA,NA,"1.59","-0.10","-0.23"
"46","A","PNE","no",NA,NA,NA,"1.13","0.23","0.00"
