"","HA","vs","played","Pts","GD","GS","ePts","sched","cumulative"
"1","A","Sou","yes",0,-1,1,"1.36","0.06","0.06"
"2","H","WBA","yes",0,-1,2,"1.94","-0.33","-0.26"
"3","H","ShW","yes",1,0,2,"2.16","-0.49","-0.75"
"4","A","Mil","yes",3,2,2,"0.98","0.33","-0.42"
"5","H","QPR","yes",0,-2,1,"1.69","-0.16","-0.58"
"6","A","Nor","yes",3,1,3,"2.03","-0.39","-0.97"
"7","H","Der","yes",1,0,1,"1.23","0.16","-0.82"
"8","A","Lei","yes",1,0,1,"1.19","0.18","-0.64"
"9","H","Bir","yes",1,0,1,"1.99","-0.37","-1.00"
"10","A","Sto","yes",0,-1,0,"1.24","0.15","-0.85"
"11","H","Oxf","yes",3,1,1,"2.14","-0.47","-1.32"
"12","A","Mid","yes",1,0,1,"0.80","0.45","-0.87"
"13","H","Cov","yes",3,1,3,"1.04","0.29","-0.59"
"14","A","Por","yes",1,0,0,"1.44","0.01","-0.57"
"15","H","Cha","yes",3,1,1,"1.92","-0.32","-0.89"
"16","A","Ips","yes",1,0,0,"0.77","0.47","-0.42"
"17","H","Bri","yes",3,2,2,"1.38","0.06","-0.37"
"18","H","Bbn","yes",1,0,1,"1.33","0.09","-0.28"
"19","A","PNE","yes",1,0,1,"1.21","0.17","-0.11"
"20","A","Hul","yes",0,-2,0,"1.13","0.22","0.11"
"21","H","Wat","yes",1,0,2,"1.53","-0.05","0.06"
"22","A","Swa","yes",0,-1,1,"1.37","0.06","0.12"
"23","H","ShU","yes",3,2,5,"1.68","-0.15","-0.03"
"24","H","PNE","yes",3,1,2,"1.28","0.12","0.09"
"25","A","Bbn","yes",3,2,2,"2.06","-0.41","-0.32"
"26","A","Der","yes",3,1,2,"1.53","-0.05","-0.37"
"27","H","Nor","yes",0,-1,1,"1.61","-0.10","-0.48"
"28","H","Lei","no",NA,NA,NA,"1.65","-0.13","-0.61"
"29","A","QPR","no",NA,NA,NA,"1.22","0.16","-0.45"
"30","A","ShW","no",NA,NA,NA,"2.49","-0.71","-1.16"
"31","H","Mil","no",NA,NA,NA,"1.31","0.10","-1.06"
"32","A","Bri","no",NA,NA,NA,"1.39","0.04","-1.01"
"33","H","Ips","no",NA,NA,NA,"1.26","0.14","-0.88"
"34","H","Por","no",NA,NA,NA,"1.96","-0.35","-1.22"
"35","A","Cha","no",NA,NA,NA,"1.25","0.14","-1.08"
"36","A","Wat","no",NA,NA,NA,"0.94","0.35","-0.73"
"37","H","Hul","no",NA,NA,NA,"1.11","0.24","-0.49"
"38","H","Swa","no",NA,NA,NA,"1.91","-0.31","-0.80"
"39","A","ShU","no",NA,NA,NA,"1.50","-0.03","-0.83"
"40","A","WBA","no",NA,NA,NA,"1.32","0.09","-0.74"
"41","H","Sou","no",NA,NA,NA,"1.79","-0.23","-0.97"
"42","A","Bir","no",NA,NA,NA,"0.99","0.32","-0.64"
"43","H","Sto","no",NA,NA,NA,"1.39","0.04","-0.60"
"44","A","Oxf","no",NA,NA,NA,"1.73","-0.19","-0.79"
"45","A","Cov","no",NA,NA,NA,"0.52","0.64","-0.14"
"46","H","Mid","no",NA,NA,NA,"1.24","0.14","0.00"
