"","longnames","Pld","GD","Pts","rank","rank+","sched","Pts|28"
"MnC","Manchester City",27,59,72,1,1,-0.234239200585861,74.42375194
"Liv","Liverpool",28,33,57,2,2,0.784923759999998,57.78492376
"MnU","Manchester United",27,32,56,3,3,-0.338234297827015,57.72331258
"Tot","Tottenham Hotspur",27,28,52,5,4,0.338334892027305,54.27679174
"Che","Chelsea",27,26,53,4,5,-1.62208844324688,53.28079717
"Ars","Arsenal",27,15,45,6,6,0.282953426795125,46.96009985
"Bur","Burnley",28,-3,37,7,7,1.41575584,38.41575584
"Lei","Leicester City",28,-1,36,8,8,1.70601938,37.70601938
"Eve","Everton",28,-15,34,9,9,0.336093929999997,34.33609393
"Wat","Watford",28,-9,33,10,10,-0.0731361899999996,32.92686381
"Bou","AFC Bournemouth",28,-10,32,11,11,-0.0193797599999996,31.98062024
"Hud","Huddersfield Town",28,-23,30,14,12,-0.325018490000001,29.67498151
"WHU","West Ham United",28,-15,30,13,13,-0.68162375,29.31837625
"BHA","Brighton & Hove Albion",28,-11,31,12,14,-2.11654399,28.88345601
"New","Newcastle United",28,-11,29,15,15,-0.227309429999998,28.77269057
"Pal","Crystal Palace",27,-17,27,17,16,-0.157077909694578,27.83710439
"Swa","Swansea City",28,-20,27,18,17,0.648756200000001,27.6487562
"Sot","Southampton",28,-12,27,16,18,-0.864427200000002,26.1355728
"Sto","Stoke City",28,-26,26,19,19,-0.922758699999999,25.0772413
"WBA","West Bromwich Albion",28,-20,20,20,20,-0.40862207,19.59137793
