"","HA","vs","played","sched","cumulative"
"1","H","MnC",1,0.8,0.8
"2","A","Lei",1,0.28,1.08
"3","A","Wat",1,0.06,1.14
"4","H","WBA",1,-0.96,0.18
"5","A","Bou",1,0.08,0.26
"6","H","New",1,-0.37,-0.11
"7","A","Ars",1,0.49,0.38
"8","H","Eve",1,-0.33,0.05
"9","A","WHU",1,-0.01,0.04
"10","H","Sot",1,-0.8,-0.76
"11","A","Swa",1,0,-0.76
"12","H","Sto",1,-0.81,-1.57
"13","A","MnU",1,0.77,-0.8
"14","H","Pal",1,-0.57,-1.37
"15","H","Liv",1,0.41,-0.96
"16","A","Hud",1,-0.02,-0.97
"17","A","Tot",1,0.71,-0.27
"18","H","Bur",1,-0.01,-0.27
"19","H","Wat",1,-0.54,-0.82
"20","A","Che",1,0.6,-0.22
"21","A","New",1,0.21,-0.01
"22","H","Bou",1,-0.52,-0.53
"23","A","WBA",1,-0.4,-0.92
"24","H","Che",1,0.18,-0.74
"25","A","Sot",1,-0.21,-0.95
"26","H","WHU",1,-0.61,-1.56
"27","A","Sto",1,-0.22,-1.77
"28","H","Swa",1,-0.6,-2.38
"29","H","Ars",1,0.01,-2.37
"30","A","Eve",1,0.24,-2.12
"31","H","Lei",1,-0.28,-2.41
"32","H","Hud",1,-0.62,-3.03
"33","A","Pal",1,0.03,-3
"34","H","Tot",1,0.39,-2.61
"35","A","Bur",0,0.48,-2.13
"36","H","MnU",0,0.5,-1.63
"37","A","MnC",0,0.9,-0.72
"38","A","Liv",0,0.72,0
