"","HA","vs","played","sched","cumulative"
"1","H","Sto",1,-0.68,-0.68
"2","A","MnC",1,1.03,0.36
"3","A","Che",1,0.69,1.05
"4","H","Tot",1,0.32,1.36
"5","A","MnU",1,0.74,2.11
"6","H","Bou",1,-0.71,1.4
"7","H","Bur",1,-0.07,1.33
"8","A","BHA",1,0.29,1.62
"9","H","Ars",1,0.17,1.79
"10","A","Lei",0,0.06,1.85
"11","H","Wat",0,0.2,2.05
"12","A","Pal",0,-0.95,1.1
"13","A","Sot",0,0,1.1
"14","H","WHU",0,-0.76,0.34
"15","H","Hud",0,-0.51,-0.17
"16","A","Liv",0,0.68,0.51
"17","A","New",0,0.29,0.8
"18","H","Swa",0,-0.9,-0.1
"19","H","Che",0,0.25,0.15
"20","A","WBA",0,0.04,0.19
"21","A","Bou",0,-0.08,0.11
"22","H","MnU",0,0.34,0.45
"23","A","Tot",0,0.73,1.18
"24","H","WBA",0,-0.59,0.59
"25","H","Lei",0,-0.57,0.02
"26","A","Ars",0,0.65,0.67
"27","H","Pal",0,-1.34,-0.68
"28","A","Wat",0,0.66,-0.02
"29","A","Bur",0,0.49,0.47
"30","H","BHA",0,-0.33,0.14
"31","A","Sto",0,-0.05,0.1
"32","H","MnC",0,0.96,1.05
"33","H","Liv",0,0.23,1.28
"34","A","Swa",0,-0.3,0.98
"35","H","New",0,-0.32,0.65
"36","A","Hud",0,0.12,0.77
"37","H","Sot",0,-0.63,0.14
"38","A","WHU",0,-0.14,0
