"","HA","vs","sched","cumulative"
"1","H","WHU",-0.44,-0.44
"2","A","Swa",-0.47,-0.91
"3","H","Lei",-0.43,-1.34
"4","A","Sto",0.1,-1.24
"5","H","Eve",-0.25,-1.49
"6","A","Sot",-0.34,-1.84
"7","H","Cry",-0.64,-2.48
"8","A","Liv",0.64,-1.84
"9","A","Hud",-0.25,-2.09
"10","H","Tot",0.05,-2.05
"11","A","Che",0.99,-1.05
"12","H","New",-0.33,-1.38
"13","H","BHA",-0.36,-1.74
"14","A","Wat",0.33,-1.41
"15","A","Ars",0.58,-0.82
"16","H","MnC",1.39,0.57
"17","H","Bou",-0.48,0.09
"18","A","WBA",0.01,0.1
"19","A","Lei",-0.22,-0.12
"20","H","Bur",-0.01,-0.13
"21","H","Sot",-0.49,-0.62
"22","A","Eve",0.14,-0.47
"23","H","Sto",-0.28,-0.75
"24","A","Bur",0.6,-0.15
"25","A","Tot",0.68,0.53
"26","H","Hud",-0.44,0.09
"27","A","New",-0.01,0.08
"28","H","Che",0.26,0.34
"29","A","Cry",-0.64,-0.3
"30","H","Liv",0.02,-0.28
"31","A","WHU",-0.24,-0.52
"32","H","Swa",-0.55,-1.07
"33","A","MnC",1.95,0.88
"34","H","WBA",-0.32,0.56
"35","A","Bou",-0.32,0.24
"36","H","Ars",-0.01,0.23
"37","A","BHA",-0.07,0.16
"38","H","Wat",-0.16,0
