"","HA","vs","played","sched","cumulative"
"1","H","Swa",1,-0.94,-0.94
"2","H","WHU",1,-0.86,-1.79
"3","A","Hud",1,0.09,-1.7
"4","H","Wat",1,-0.03,-1.73
"5","A","Pal",1,-0.92,-2.65
"6","H","MnU",1,0.47,-2.18
"7","A","Sto",1,0.24,-1.94
"8","H","New",1,-0.38,-2.33
"9","H","WBA",1,-0.6,-2.92
"10","A","BHA",1,0.15,-2.77
"11","H","Bur",0,0.06,-2.71
"12","A","Liv",0,0.64,-2.06
"13","H","Eve",0,-0.61,-2.68
"14","A","MnC",0,0.98,-1.7
"15","A","Bou",0,-0.16,-1.86
"16","H","Ars",0,0.22,-1.64
"17","H","Lei",0,-0.44,-2.08
"18","A","Che",0,0.72,-1.36
"19","H","Hud",0,-0.53,-1.89
"20","A","Tot",0,0.71,-1.18
"21","A","MnU",0,0.78,-0.4
"22","H","Pal",0,-1.34,-1.75
"23","A","Wat",0,0.49,-1.25
"24","H","Tot",0,0.33,-0.92
"25","H","BHA",0,-0.47,-1.39
"26","A","WBA",0,0.03,-1.36
"27","H","Liv",0,0.22,-1.14
"28","A","Bur",0,0.55,-0.59
"29","H","Sto",0,-0.37,-0.96
"30","A","New",0,0.22,-0.73
"31","A","Swa",0,-0.35,-1.08
"32","A","WHU",0,-0.25,-1.33
"33","A","Ars",0,0.64,-0.69
"34","H","Che",0,0.36,-0.33
"35","A","Lei",0,0.18,-0.15
"36","H","Bou",0,-0.78,-0.93
"37","A","Eve",0,0.01,-0.91
"38","H","MnC",0,0.91,0
