"","HA","vs","played","sched","cumulative"
"1","H","Bou",1,-0.65,-0.65
"2","A","Bur",1,0.48,-0.17
"3","H","Sto",1,-0.67,-0.85
"4","A","BHA",1,-0.03,-0.88
"5","H","WHU",1,-0.57,-1.44
"6","A","Ars",1,0.53,-0.91
"7","H","Wat",1,-0.31,-1.22
"8","A","Lei",1,0.34,-0.89
"9","A","Sot",1,-0.06,-0.94
"10","H","MnC",1,0.74,-0.2
"11","A","Hud",1,0.18,-0.02
"12","H","Che",1,0.41,0.4
"13","A","Tot",1,0.48,0.88
"14","H","New",1,-0.82,0.06
"15","H","Pal",1,-0.69,-0.63
"16","A","Swa",1,-0.38,-1.01
"17","A","Liv",1,0.54,-0.47
"18","H","MnU",1,0.5,0.03
"19","A","Sto",0,-0.1,-0.06
"20","H","Eve",0,-0.19,-0.25
"21","H","Ars",0,0.24,-0.02
"22","A","WHU",0,0,-0.02
"23","H","BHA",0,-0.6,-0.62
"24","A","Eve",0,0.28,-0.34
"25","A","MnC",0,0.76,0.43
"26","H","Sot",0,-0.63,-0.2
"27","A","Che",0,0.62,0.41
"28","H","Hud",0,-0.33,0.08
"29","A","Wat",0,0.19,0.28
"30","H","Lei",0,-0.1,0.18
"31","A","Bou",0,-0.08,0.1
"32","H","Bur",0,0.14,0.24
"33","H","Swa",0,-0.95,-0.71
"34","A","MnU",0,0.66,-0.06
"35","H","Liv",0,0.26,0.2
"36","A","New",0,-0.24,-0.03
"37","H","Tot",0,0.15,0.11
"38","A","Pal",0,-0.11,0
