"","HA","vs","played","sched","cumulative"
"1","H","MnC","yes","0.49","0.49"
"2","A","Che","yes","0.56","1.05"
"3","H","WHU","yes","-0.22","0.83"
"4","A","Car","yes","-0.19","0.65"
"5","A","New","yes","-0.16","0.49"
"6","H","Eve","yes","-0.24","0.24"
"7","H","Wat","yes","-0.19","0.05"
"8","A","Ful","yes","-0.30","-0.24"
"9","H","Lei","yes","-0.22","-0.46"
"10","A","Pal","yes","-0.07","-0.53"
"11","H","Liv","yes","0.67","0.14"
"12","H","Wol","yes","-0.20","-0.07"
"13","A","Bou","yes","0.05","-0.01"
"14","H","Tot","yes","0.26","0.25"
"15","A","MnU","yes","0.46","0.71"
"16","H","Hud","yes","-0.48","0.24"
"17","A","Sot","yes","-0.12","0.12"
"18","H","Bur","yes","-0.38","-0.26"
"19","A","BHA","yes","0.04","-0.22"
"20","A","Liv","yes","0.87","0.65"
"21","H","Ful","yes","-0.44","0.21"
"22","A","WHU","yes","0.13","0.34"
"23","H","Che","no","0.15","0.49"
"24","H","Car","no","-0.39","0.10"
"25","A","MnC","no","0.79","0.89"
"26","A","Hud","no","-0.36","0.52"
"27","H","Sot","no","-0.36","0.16"
"28","H","Bou","no","-0.26","-0.10"
"29","A","Tot","no","0.64","0.54"
"30","H","MnU","no","0.05","0.59"
"31","A","Wol","no","0.15","0.75"
"32","H","New","no","-0.38","0.37"
"33","A","Eve","no","0.09","0.46"
"34","A","Wat","no","0.17","0.63"
"35","H","Pal","no","-0.33","0.30"
"36","A","Lei","no","0.13","0.43"
"37","H","BHA","no","-0.27","0.16"
"38","A","Bur","no","-0.16","-0.00"
