"","HA","vs","played","sched","cumulative"
"1","A","Sot","yes","-0.12","-0.12"
"2","H","Wat","yes","-0.19","-0.31"
"3","A","Ful","yes","-0.52","-0.83"
"4","H","MnU","yes","0.28","-0.55"
"5","A","Wol","yes","0.42","-0.13"
"6","H","Bou","yes","-0.36","-0.48"
"7","A","Car","yes","-0.15","-0.64"
"8","H","Hud","yes","-1.28","-1.92"
"9","A","MnC","yes","0.87","-1.05"
"10","H","Che","yes","0.26","-0.78"
"11","A","WHU","yes","0.29","-0.50"
"12","A","Lei","yes","0.21","-0.28"
"13","H","New","yes","-0.60","-0.88"
"14","A","Pal","yes","0.11","-0.78"
"15","H","Liv","yes","0.74","-0.04"
"16","H","BHA","yes","-0.61","-0.65"
"17","A","Tot","yes","0.78","0.13"
"18","A","Ars","yes","0.69","0.82"
"19","H","Eve","yes","-0.50","0.32"
"20","H","WHU","yes","-0.33","-0.00"
"21","A","Hud","yes","-0.87","-0.87"
"22","H","Ful","yes","-1.06","-1.93"
"23","A","Wat","yes","0.39","-1.54"
"24","A","MnU","yes","0.68","-0.85"
"25","H","Sot","yes","-0.75","-1.60"
"26","A","BHA","yes","0.03","-1.58"
"27","H","Tot","yes","0.47","-1.10"
"28","A","New","no","0.04","-1.06"
"29","H","Pal","no","-0.54","-1.59"
"30","A","Liv","no","0.90","-0.70"
"31","H","Lei","no","-0.42","-1.12"
"32","H","Wol","no","-0.15","-1.26"
"33","A","Bou","no","0.27","-1.00"
"34","H","Car","no","-0.78","-1.78"
"35","A","Che","no","0.68","-1.10"
"36","H","MnC","no","0.67","-0.43"
"37","A","Eve","no","0.14","-0.29"
"38","H","Ars","no","0.29","-0.00"
