"","HA","vs","played","sched","cumulative"
"1","A","Bou",1,0.3,0.3
"2","H","New",1,-1.03,-0.73
"3","A","Hud",1,-0.75,-1.48
"4","H","Ars",1,0.29,-1.19
"5","A","Che",1,0.37,-0.82
"6","H","MnC",1,0.38,-0.44
"7","H","Bur",1,-0.47,-0.91
"8","A","Tot",1,0.38,-0.53
"9","H","Ful",1,-0.72,-1.25
"10","A","Liv",1,0.4,-0.85
"11","H","Lei",0,0.01,-0.84
"12","H","BHA",0,0.13,-0.71
"13","A","Eve",0,0.21,-0.5
"14","H","Wol",0,0.13,-0.37
"15","A","WHU",0,0.21,-0.16
"16","H","Sot",0,-0.51,-0.67
"17","A","Wat",0,0.32,-0.35
"18","H","MnU",0,0.22,-0.13
"19","A","Pal",0,-0.2,-0.33
"20","A","Lei",0,0.19,-0.14
"21","H","Tot",0,0.34,0.21
"22","H","Hud",0,-1.11,-0.91
"23","A","New",0,-0.67,-1.58
"24","A","Ars",0,0.35,-1.22
"25","H","Bou",0,0.2,-1.03
"26","A","Sot",0,-0.18,-1.2
"27","H","Wat",0,0.22,-0.98
"28","H","Eve",0,0.04,-0.94
"29","A","Wol",0,0.26,-0.68
"30","H","WHU",0,0.03,-0.65
"31","A","BHA",0,0.27,-0.38
"32","H","Che",0,0.33,-0.05
"33","A","MnC",0,0.4,0.34
"34","A","Bur",0,-0.14,0.2
"35","H","Liv",0,0.38,0.58
"36","A","Ful",0,-0.37,0.22
"37","H","Pal",0,-0.53,-0.31
"38","A","MnU",0,0.31,0
