"","HA","vs","played","sched","cumulative"
"1","A","Hud",1,-0.66,-0.66
"2","H","Ars",1,0.48,-0.19
"3","A","New",1,-0.69,-0.88
"4","H","Bou",1,-0.24,-1.11
"5","H","Car",1,-0.72,-1.83
"6","A","WHU",1,-0.04,-1.87
"7","H","Liv",1,1.31,-0.56
"8","A","Sot",1,-0.43,-0.99
"9","H","MnU",1,-0.23,-1.22
"10","A","Bur",0,-0.46,-1.68
"11","H","Pal",0,-0.67,-2.35
"12","H","Eve",0,-0.37,-2.72
"13","A","Tot",0,1.28,-1.43
"14","H","Ful",0,-0.68,-2.11
"15","A","Wol",0,0.31,-1.81
"16","H","MnC",0,1.26,-0.54
"17","A","BHA",0,-0.02,-0.56
"18","H","Lei",0,-0.4,-0.96
"19","A","Wat",0,0.47,-0.49
"20","A","Pal",0,-0.54,-1.03
"21","H","Sot",0,-0.62,-1.65
"22","H","New",0,-0.74,-2.39
"23","A","Ars",0,1.27,-1.13
"24","A","Bou",0,0.34,-0.78
"25","H","Hud",0,-0.73,-1.51
"26","A","MnC",0,1.81,0.3
"27","H","BHA",0,-0.43,-0.13
"28","H","Tot",0,0.5,0.37
"29","A","Ful",0,-0.56,-0.19
"30","H","Wol",0,-0.26,-0.45
"31","A","Eve",0,0.09,-0.36
"32","A","Car",0,-0.64,-0.99
"33","H","WHU",0,-0.44,-1.43
"34","A","Liv",0,1.84,0.41
"35","H","Bur",0,-0.63,-0.22
"36","A","MnU",0,0.35,0.13
"37","H","Wat",0,-0.16,-0.03
"38","A","Lei",0,0.03,0
