"","HA","vs","played","sched","cumulative"
"1","H","Pal","yes","-0.71","-0.71"
"2","A","Tot","yes","0.76","0.05"
"3","H","Bur","yes","-0.94","-0.89"
"4","A","BHA","yes","0.08","-0.82"
"5","A","MnC","yes","0.90","0.08"
"6","H","Wat","yes","-0.14","-0.05"
"7","A","Eve","yes","0.38","0.33"
"8","H","Ars","yes","0.47","0.79"
"9","A","Car","yes","-0.17","0.63"
"10","H","Bou","yes","-0.49","0.14"
"11","A","Hud","yes","-1.28","-1.14"
"12","A","Liv","yes","0.90","-0.24"
"13","H","Sot","yes","-0.78","-1.02"
"14","A","Che","yes","0.73","-0.29"
"15","H","Lei","yes","-0.30","-0.59"
"16","A","MnU","yes","0.73","0.14"
"17","H","WHU","yes","-0.46","-0.32"
"18","A","New","yes","0.17","-0.15"
"19","H","Wol","yes","-0.15","-0.30"
"20","H","Hud","yes","-2.39","-2.69"
"21","A","Ars","yes","0.77","-1.91"
"22","A","Bur","yes","0.00","-1.91"
"23","H","Tot","yes","0.45","-1.46"
"24","H","BHA","yes","-0.84","-2.30"
"25","A","Pal","yes","0.15","-2.14"
"26","H","MnU","yes","0.37","-1.78"
"27","A","WHU","yes","0.31","-1.47"
"28","A","Sot","yes","0.11","-1.36"
"29","H","Che","yes","0.37","-0.99"
"30","A","Lei","yes","0.40","-0.59"
"31","H","Liv","yes","0.77","0.19"
"32","H","MnC","yes","0.77","0.95"
"33","A","Wat","yes","0.48","1.43"
"34","H","Eve","no","-0.32","1.11"
"35","A","Bou","no","0.29","1.40"
"36","H","Car","no","-1.18","0.21"
"37","A","Wol","no","0.47","0.69"
"38","H","New","no","-0.69","0.00"
