"","HA","vs","played","sched","cumulative"
"1","H","Che","yes","0.46","0.46"
"2","A","MnC","yes","0.87","1.34"
"3","H","Car","yes","-1.55","-0.21"
"4","A","Eve","yes","0.33","0.12"
"5","H","Pal","yes","-0.87","-0.75"
"6","A","Lei","yes","0.38","-0.38"
"7","H","Tot","yes","0.61","0.24"
"8","A","Bur","yes","-0.11","0.12"
"9","H","Liv","yes","0.85","0.98"
"10","A","Wat","yes","0.42","1.40"
"11","H","Ful","yes","-1.89","-0.48"
"12","H","WHU","yes","-0.39","-0.88"
"13","A","Wol","yes","0.50","-0.38"
"14","H","BHA","yes","-0.67","-1.05"
"15","A","Bou","yes","0.35","-0.70"
"16","A","Ars","yes","0.74","0.05"
"17","H","New","yes","-0.90","-0.85"
"18","H","Sot","yes","-0.93","-1.79"
"19","A","MnU","yes","0.70","-1.09"
"20","A","Ful","yes","-0.64","-1.73"
"21","H","Bur","yes","-1.15","-2.87"
"22","A","Car","yes","-0.38","-3.26"
"23","H","MnC","yes","0.72","-2.54"
"24","H","Eve","yes","-0.41","-2.95"
"25","A","Che","no","0.76","-2.19"
"26","H","Ars","no","0.43","-1.76"
"27","A","New","no","0.04","-1.71"
"28","H","Wol","no","-0.08","-1.80"
"29","A","BHA","no","0.18","-1.62"
"30","H","Bou","no","-0.36","-1.98"
"31","A","WHU","no","0.34","-1.64"
"32","A","Pal","no","0.06","-1.58"
"33","H","Lei","no","-0.31","-1.89"
"34","A","Tot","no","0.83","-1.07"
"35","H","Wat","no","-0.22","-1.29"
"36","A","Liv","no","0.93","-0.36"
"37","H","MnU","no","0.34","-0.02"
"38","A","Sot","no","0.02","0.00"
