"","HA","vs","played","sched","cumulative"
"1","A","New","yes","0.01","0.01"
"2","H","Ful","yes","-0.41","-0.40"
"3","A","MnU","yes","0.43","0.03"
"4","A","Wat","yes","0.14","0.18"
"5","H","Liv","yes","0.54","0.71"
"6","A","BHA","yes","-0.11","0.61"
"7","A","Hud","yes","-0.37","0.23"
"8","H","Car","yes","-0.38","-0.15"
"9","A","WHU","yes","0.11","-0.04"
"10","H","MnC","yes","0.56","0.51"
"11","A","Wol","yes","0.22","0.74"
"12","A","Pal","yes","0.07","0.81"
"13","H","Che","yes","0.04","0.85"
"14","A","Ars","yes","0.44","1.28"
"15","H","Sot","yes","-0.32","0.96"
"16","A","Lei","yes","0.14","1.11"
"17","H","Bur","yes","-0.31","0.79"
"18","A","Eve","yes","0.16","0.96"
"19","H","Bou","yes","-0.27","0.68"
"20","H","Wol","yes","-0.16","0.52"
"21","A","Car","yes","-0.17","0.36"
"22","H","MnU","yes","0.01","0.37"
"23","A","Ful","yes","-0.22","0.15"
"24","H","Wat","yes","-0.21","-0.06"
"25","H","New","yes","-0.29","-0.36"
"26","H","Lei","yes","-0.21","-0.57"
"27","A","Bur","yes","-0.03","-0.60"
"28","A","Che","yes","0.46","-0.14"
"29","H","Ars","yes","0.02","-0.12"
"30","A","Sot","yes","-0.04","-0.16"
"31","A","Liv","yes","0.81","0.65"
"32","H","Pal","yes","-0.26","0.40"
"33","H","Hud","yes","-0.48","-0.08"
"34","A","MnC","yes","0.82","0.74"
"35","H","BHA","yes","-0.35","0.39"
"36","H","WHU","yes","-0.24","0.15"
"37","A","Bou","yes","0.04","0.20"
"38","H","Eve","no","-0.20","0.00"
