"","HA","vs","played","sched","cumulative"
"1","A","Liv","yes","0.93","0.93"
"2","H","Bou","yes","-0.20","0.73"
"3","A","Ars","yes","0.72","1.44"
"4","H","Wol","yes","-0.11","1.33"
"5","A","Eve","yes","0.40","1.73"
"6","H","Che","yes","0.49","2.22"
"7","H","MnU","yes","0.24","2.46"
"8","A","BHA","yes","0.21","2.67"
"9","H","Tot","yes","0.65","3.32"
"10","A","Lei","yes","0.26","3.59"
"11","H","Bur","yes","-0.80","2.79"
"12","A","Hud","yes","-0.59","2.19"
"13","H","MnC","no","0.89","3.08"
"14","A","New","no","-0.22","2.87"
"15","H","Car","no","-0.88","1.99"
"16","H","Pal","no","-0.82","1.17"
"17","A","Ful","no","-0.76","0.41"
"18","H","Wat","no","-0.13","0.27"
"19","A","Sot","no","-0.36","-0.09"
"20","A","Bur","no","-0.37","-0.46"
"21","H","BHA","no","-0.31","-0.77"
"22","H","Ars","no","0.38","-0.39"
"23","A","Bou","no","0.32","-0.08"
"24","A","Wol","no","0.39","0.31"
"25","H","Liv","no","0.82","1.14"
"26","A","Pal","no","-0.40","0.73"
"27","H","Ful","no","-1.05","-0.32"
"28","A","MnC","no","0.95","0.64"
"29","H","New","no","-0.69","-0.05"
"30","A","Car","no","-0.48","-0.54"
"31","H","Hud","no","-0.95","-1.49"
"32","H","Eve","no","-0.10","-1.58"
"33","A","Che","no","0.78","-0.81"
"34","A","MnU","no","0.64","-0.17"
"35","H","Lei","no","-0.26","-0.43"
"36","A","Tot","no","0.85","0.42"
"37","H","Sot","no","-0.79","-0.37"
"38","A","Wat","no","0.37","-0.00"
