"","HA","vs","played","sched","cumulative"
"1","H","Eve","yes","-0.35","-0.35"
"2","A","Lei","yes","0.33","-0.02"
"3","H","MnC","yes","0.65","0.62"
"4","A","WHU","yes","0.17","0.79"
"5","H","Bur","yes","-0.63","0.16"
"6","A","MnU","yes","0.54","0.70"
"7","H","Sot","yes","-0.63","0.07"
"8","A","Pal","yes","0.03","0.10"
"9","H","Wat","yes","-0.27","-0.17"
"10","A","BHA","yes","0.14","-0.04"
"11","H","Tot","yes","0.50","0.47"
"12","A","Ars","yes","0.65","1.12"
"13","H","Hud","yes","-0.85","0.27"
"14","A","Car","yes","-0.18","0.09"
"15","H","Che","yes","0.28","0.38"
"16","A","New","yes","-0.18","0.19"
"17","H","Bou","yes","-0.33","-0.13"
"18","H","Liv","yes","0.78","0.64"
"19","A","Ful","yes","-0.42","0.22"
"20","A","Tot","yes","0.79","1.01"
"21","H","Pal","yes","-0.45","0.56"
"22","A","MnC","no","0.86","1.42"
"23","H","Lei","no","-0.18","1.24"
"24","H","WHU","no","-0.33","0.90"
"25","A","Eve","no","0.15","1.06"
"26","H","New","no","-0.60","0.46"
"27","A","Bou","no","0.18","0.63"
"28","A","Hud","no","-0.61","0.03"
"29","H","Car","no","-0.60","-0.57"
"30","A","Che","no","0.68","0.11"
"31","H","Ars","no","0.24","0.34"
"32","A","Bur","no","-0.23","0.11"
"33","H","MnU","no","0.07","0.18"
"34","A","Sot","no","-0.23","-0.05"
"35","H","BHA","no","-0.36","-0.41"
"36","A","Wat","no","0.24","-0.17"
"37","H","Ful","no","-0.74","-0.91"
"38","A","Liv","no","0.91","0.00"
