"","HA","vs","played","sched","cumulative"
"1","H","ShU","yes","-0.14","-0.14"
"2","A","Ast","yes","0.04","-0.10"
"3","H","MnC","yes","0.20","0.10"
"4","A","Lei","yes","0.68","0.78"
"5","H","Eve","yes","-0.48","0.30"
"6","A","Sot","yes","0.04","0.35"
"7","H","WHU","yes","-0.37","-0.03"
"8","A","Ars","yes","0.45","0.42"
"9","H","Nor","yes","-0.54","-0.12"
"10","A","Wat","no","-0.62","-0.74"
"11","H","MnU","no","-0.25","-0.99"
"12","A","New","no","-0.13","-1.11"
"13","H","Wol","no","-0.32","-1.44"
"14","A","Tot","no","0.13","-1.31"
"15","A","Pal","no","0.32","-0.99"
"16","H","Liv","no","0.88","-0.11"
"17","A","Che","no","0.64","0.53"
"18","H","Bur","no","-0.16","0.37"
"19","H","Ars","no","-0.01","0.35"
"20","A","BHA","no","-0.13","0.22"
"21","A","WHU","no","0.11","0.33"
"22","H","Wat","no","-0.90","-0.57"
"23","A","Nor","no","-0.09","-0.66"
"24","H","BHA","no","-0.57","-1.23"
"25","H","Ast","no","-0.43","-1.66"
"26","A","ShU","no","0.34","-1.32"
"27","A","Bur","no","0.32","-1.00"
"28","H","Che","no","0.25","-0.75"
"29","A","Liv","no","0.95","0.20"
"30","H","Pal","no","-0.16","0.04"
"31","A","Wol","no","0.16","0.20"
"32","H","New","no","-0.56","-0.37"
"33","A","MnU","no","0.24","-0.13"
"34","H","Tot","no","-0.35","-0.48"
"35","H","Lei","no","0.32","-0.16"
"36","A","MnC","no","0.60","0.44"
"37","H","Sot","no","-0.43","0.01"
"38","A","Eve","no","-0.01","0.00"
