"","HA","vs","played","sched","cumulative"
"1","H","Wol","yes","-0.13","-0.13"
"2","A","Che","yes","0.27","0.15"
"3","A","ShU","yes","0.15","0.30"
"4","H","Bou","yes","-0.28","0.02"
"5","A","MnU","yes","0.20","0.22"
"6","H","Tot","yes","-0.16","0.06"
"7","H","New","yes","-0.18","-0.12"
"8","A","Liv","yes","0.96","0.84"
"9","H","Bur","yes","-0.21","0.63"
"10","A","Sot","yes","0.11","0.74"
"11","A","Pal","yes","0.06","0.81"
"12","H","Ars","yes","-0.20","0.61"
"13","A","BHA","yes","-0.04","0.57"
"14","H","Eve","yes","-0.20","0.36"
"15","H","Wat","yes","-0.27","0.09"
"16","A","Ast","yes","-0.04","0.05"
"17","H","Nor","yes","-0.32","-0.26"
"18","A","MnC","yes","0.52","0.25"
"19","H","Liv","yes","0.90","1.15"
"20","A","WHU","yes","-0.05","1.10"
"21","A","New","yes","0.08","1.18"
"22","H","Sot","yes","-0.17","1.02"
"23","A","Bur","yes","0.04","1.06"
"24","H","WHU","no","-0.26","0.80"
"25","H","Che","no","-0.07","0.73"
"26","A","Wol","no","0.18","0.92"
"27","H","MnC","no","0.15","1.06"
"28","A","Nor","no","-0.17","0.89"
"29","H","Ast","no","-0.25","0.64"
"30","A","Wat","no","-0.08","0.56"
"31","H","BHA","no","-0.25","0.30"
"32","A","Eve","no","0.05","0.36"
"33","H","Pal","no","-0.20","0.16"
"34","A","Ars","no","0.06","0.22"
"35","A","Bou","no","-0.09","0.13"
"36","H","ShU","no","-0.15","-0.02"
"37","A","Tot","no","0.13","0.11"
"38","H","MnU","no","-0.11","-0.00"
