"","HA","vs","played","sched","cumulative"
"1","A","WHU","yes","-0.06","-0.06"
"2","H","Tot","yes","-0.15","-0.21"
"3","A","Bou","yes","-0.09","-0.30"
"4","H","BHA","yes","-0.25","-0.54"
"5","A","Nor","yes","-0.17","-0.72"
"6","H","Wat","yes","-0.27","-0.98"
"7","A","Eve","yes","0.05","-0.93"
"8","H","Wol","yes","-0.13","-1.06"
"9","A","Pal","yes","0.06","-1.00"
"10","H","Ast","yes","-0.24","-1.24"
"11","H","Sot","yes","-0.16","-1.40"
"12","A","Liv","yes","0.97","-0.44"
"13","H","Che","yes","-0.07","-0.50"
"14","A","New","yes","0.08","-0.43"
"15","A","Bur","yes","0.08","-0.35"
"16","H","MnU","yes","-0.14","-0.49"
"17","A","Ars","yes","0.05","-0.43"
"18","H","Lei","yes","0.13","-0.30"
"19","A","Wol","yes","0.17","-0.13"
"20","H","ShU","yes","-0.14","-0.27"
"21","H","Eve","yes","-0.20","-0.47"
"22","A","Ast","yes","-0.04","-0.51"
"23","H","Pal","yes","-0.19","-0.70"
"24","A","ShU","yes","0.14","-0.56"
"25","A","Tot","no","0.14","-0.42"
"26","H","WHU","no","-0.25","-0.67"
"27","A","Lei","no","0.51","-0.17"
"28","H","Ars","no","-0.20","-0.36"
"29","A","MnU","no","0.15","-0.21"
"30","H","Bur","no","-0.18","-0.39"
"31","A","Che","no","0.26","-0.13"
"32","H","Liv","no","0.90","0.78"
"33","A","Sot","no","0.11","0.89"
"34","H","New","no","-0.18","0.71"
"35","A","BHA","no","-0.04","0.66"
"36","H","Bou","no","-0.27","0.39"
"37","A","Wat","no","-0.08","0.31"
"38","H","Nor","no","-0.31","0.00"
