"","HA","vs","played","sched","cumulative"
"1","H","Che","yes","-0.03","-0.03"
"2","A","Wol","yes","0.25","0.22"
"3","H","Pal","yes","-0.24","-0.02"
"4","A","Sot","yes","0.10","0.08"
"5","H","Lei","yes","0.14","0.22"
"6","A","WHU","yes","-0.08","0.14"
"7","H","Ars","yes","-0.19","-0.05"
"8","A","New","yes","0.02","-0.03"
"9","H","Liv","yes","0.87","0.84"
"10","A","Nor","yes","-0.25","0.59"
"11","A","Bou","yes","-0.14","0.45"
"12","H","BHA","yes","-0.42","0.03"
"13","A","ShU","yes","0.25","0.29"
"14","H","Ast","yes","-0.44","-0.16"
"15","H","Tot","yes","-0.09","-0.25"
"16","A","MnC","yes","0.62","0.38"
"17","H","Eve","yes","-0.21","0.16"
"18","A","Wat","yes","-0.10","0.06"
"19","H","New","yes","-0.31","-0.25"
"20","A","Bur","yes","0.17","-0.08"
"21","A","Ars","yes","0.16","0.07"
"22","H","Nor","yes","-0.51","-0.43"
"23","A","Liv","yes","0.94","0.50"
"24","H","Bur","yes","-0.19","0.31"
"25","H","Wol","yes","-0.10","0.21"
"26","A","Che","yes","0.33","0.54"
"27","H","Wat","yes","-0.41","0.13"
"28","A","Eve","no","0.13","0.26"
"29","H","MnC","no","0.33","0.60"
"30","A","Tot","no","0.27","0.86"
"31","H","ShU","no","-0.10","0.76"
"32","A","BHA","no","-0.12","0.64"
"33","H","Bou","no","-0.44","0.21"
"34","A","Ast","no","-0.15","0.05"
"35","H","Sot","no","-0.24","-0.19"
"36","A","Pal","no","0.10","-0.09"
"37","H","WHU","no","-0.39","-0.47"
"38","A","Lei","no","0.47","-0.00"
