"","HA","vs","played","sched","cumulative"
"1","H","BHA","yes","-0.64","-0.64"
"2","A","Eve","yes","0.03","-0.61"
"3","H","WHU","yes","-0.82","-1.43"
"4","A","New","yes","0.26","-1.18"
"5","H","Ars","yes","-0.11","-1.29"
"6","A","MnC","yes","0.70","-0.59"
"7","A","Wol","yes","0.36","-0.23"
"8","H","ShU","yes","-0.04","-0.27"
"9","A","Tot","yes","0.18","-0.09"
"10","H","Bou","yes","-0.43","-0.53"
"11","H","Che","yes","0.60","0.07"
"12","A","Nor","yes","-0.72","-0.65"
"13","H","Bur","no","-0.27","-0.91"
"14","A","Sot","no","-0.16","-1.07"
"15","A","Lei","no","0.84","-0.23"
"16","H","Pal","no","-0.29","-0.52"
"17","A","Liv","no","0.97","0.45"
"18","H","MnU","no","-0.12","0.33"
"19","A","ShU","no","0.47","0.80"
"20","H","Ast","no","-0.92","-0.12"
"21","H","Wol","no","-0.21","-0.32"
"22","A","Bou","no","0.22","-0.11"
"23","H","Tot","no","-0.49","-0.60"
"24","A","Ast","no","-0.15","-0.75"
"25","H","Eve","no","-0.69","-1.44"
"26","A","BHA","no","0.06","-1.37"
"27","A","MnU","no","0.42","-0.95"
"28","H","Liv","no","0.93","-0.02"
"29","A","Pal","no","0.31","0.30"
"30","H","Lei","no","0.67","0.96"
"31","A","Bur","no","0.33","1.29"
"32","H","Sot","no","-0.92","0.37"
"33","A","Che","no","0.81","1.18"
"34","H","Nor","no","-1.52","-0.34"
"35","H","New","no","-0.37","-0.71"
"36","A","WHU","no","-0.08","-0.79"
"37","H","MnC","no","0.37","-0.43"
"38","A","Ars","no","0.43","0.00"
