"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Ful","yes",3,3,"2.52","-0.57","-0.57"
"2","H","WHU","yes",3,1,"1.27","0.21","-0.36"
"3","A","Liv","yes",0,-2,"1.36","0.16","-0.20"
"4","H","ShU","yes",3,1,"2.52","-0.57","-0.78"
"5","A","MnC","yes",0,-1,"0.91","0.44","-0.34"
"6","H","Lei","yes",0,-1,"0.88","0.45","0.11"
"7","A","MnU","yes",3,1,"1.50","0.07","0.18"
"8","H","Ast","yes",0,-3,"1.29","0.19","0.38"
"9","A","Lee","yes",1,0,"1.57","0.02","0.40"
"10","H","Wol","yes",0,-1,"1.84","-0.14","0.25"
"11","A","Tot","yes",0,-2,"1.33","0.17","0.42"
"12","H","Bur","yes",0,-1,"1.76","-0.10","0.33"
"13","H","Sot","yes",1,0,"2.06","-0.28","0.04"
"14","A","Eve","yes",0,-1,"1.98","-0.23","-0.19"
"15","H","Che","yes",3,2,"1.10","0.31","0.13"
"16","A","BHA","yes",3,1,"1.99","-0.24","-0.11"
"17","A","WBA","yes",3,4,"2.26","-0.41","-0.52"
"18","H","Pal","yes",1,0,"1.78","-0.11","-0.63"
"19","H","New","yes",3,3,"1.72","-0.07","-0.70"
"20","A","Sot","yes",3,2,"1.64","-0.02","-0.72"
"21","H","MnU","yes",1,0,"0.63","0.61","-0.11"
"22","A","Wol","yes",0,-1,"1.77","-0.10","-0.22"
"23","A","Ast","yes",0,-1,"1.80","-0.12","-0.34"
"24","H","Lee","yes",3,2,"1.31","0.19","-0.15"
"25","H","MnC","yes",0,-1,"0.55","0.65","0.51"
"26","A","Lei","yes",3,2,"1.65","-0.03","0.48"
"27","A","Bur","yes",1,0,"2.14","-0.34","0.14"
"28","H","Tot","yes",3,1,"1.37","0.15","0.28"
"29","A","WHU","yes",1,0,"1.28","0.20","0.49"
"30","H","Liv","yes",0,-3,"1.00","0.38","0.87"
"31","A","ShU","yes",3,3,"2.19","-0.37","0.50"
"32","H","Ful","yes",1,0,"1.89","-0.18","0.32"
"33","H","Eve","yes",0,-1,"0.91","0.43","0.75"
"34","A","New","yes",3,2,"1.88","-0.17","0.58"
"35","H","WBA","yes",3,2,"2.30","-0.43","0.15"
"36","A","Che","yes",3,1,"1.35","0.16","0.31"
"37","A","Pal","yes",3,2,"1.88","-0.17","0.14"
"38","H","BHA","yes",3,2,"1.82","-0.14","-0.00"
