"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Che","yes",0,-2,"0.54","0.47","0.47"
"2","A","New","yes",3,3,"1.23","-0.20","0.27"
"3","H","MnU","yes",0,-1,"0.35","0.66","0.93"
"4","A","Eve","yes",0,-2,"1.26","-0.23","0.70"
"5","A","Pal","yes",1,0,"1.28","-0.24","0.46"
"6","H","WBA","yes",1,0,"1.78","-0.73","-0.28"
"7","A","Tot","yes",0,-1,"0.68","0.34","0.06"
"8","H","Bur","yes",1,0,"1.08","-0.05","0.01"
"9","A","Ast","yes",3,1,"1.25","-0.22","-0.20"
"10","H","Liv","yes",1,0,"0.60","0.41","0.21"
"11","H","Sot","yes",0,-1,"1.47","-0.43","-0.22"
"12","A","Lei","yes",0,-3,"0.91","0.12","-0.11"
"13","A","Ful","yes",1,0,"2.03","-0.98","-1.09"
"14","H","ShU","yes",1,0,"2.39","-1.33","-2.42"
"15","A","WHU","yes",1,0,"0.71","0.31","-2.11"
"16","H","Ars","yes",0,-1,"0.69","0.33","-1.78"
"17","H","Wol","yes",1,0,"1.14","-0.11","-1.89"
"18","A","MnC","yes",0,-1,"0.50","0.51","-1.38"
"19","A","Lee","yes",3,1,"0.94","0.08","-1.29"
"20","H","Ful","yes",1,0,"1.28","-0.24","-1.54"
"21","H","Tot","yes",3,1,"0.90","0.12","-1.42"
"22","A","Liv","yes",3,1,"0.78","0.24","-1.18"
"23","A","Bur","yes",1,0,"1.48","-0.45","-1.62"
"24","H","Ast","yes",1,0,"0.76","0.26","-1.37"
"25","H","Pal","yes",0,-1,"1.14","-0.11","-1.48"
"26","A","WBA","yes",0,-1,"1.60","-0.56","-2.03"
"27","H","Lei","yes",0,-1,"0.41","0.60","-1.44"
"28","A","Sot","yes",3,1,"0.96","0.07","-1.37"
"29","H","New","yes",3,3,"1.18","-0.15","-1.52"
"30","A","MnU","yes",0,-1,"0.79","0.23","-1.30"
"31","H","Eve","yes",1,0,"0.45","0.56","-0.74"
"32","A","Che","yes",1,0,"0.83","0.19","-0.55"
"33","A","ShU","yes",0,-1,"1.71","-0.67","-1.22"
"34","H","Lee","yes",3,2,"0.84","0.18","-1.04"
"35","A","Wol","yes",0,-1,"1.06","-0.04","-1.07"
"36","H","WHU","no",NA,NA,"0.73","0.28","-0.79"
"37","H","MnC","no",NA,NA,"0.21","0.80","0.01"
"38","A","Ars","no",NA,NA,"1.03","-0.01","-0.00"
