"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Lei","yes",0,-2,"1.01","0.02","0.02"
"2","H","Sot","yes",0,-1,"1.50","-0.46","-0.44"
"3","A","New","yes",0,-2,"1.23","-0.20","-0.64"
"4","A","WBA","yes",1,0,"1.70","-0.65","-1.30"
"5","H","Tot","yes",0,-1,"0.82","0.20","-1.09"
"6","H","Che","yes",0,-3,"0.62","0.40","-0.69"
"7","A","BHA","yes",1,0,"1.35","-0.31","-1.01"
"8","H","Pal","yes",3,1,"1.18","-0.15","-1.16"
"9","A","MnC","yes",0,-5,"0.45","0.56","-0.60"
"10","H","Eve","yes",1,0,"0.49","0.52","-0.08"
"11","A","Ars","yes",3,1,"0.99","0.03","-0.05"
"12","A","Ast","yes",1,0,"1.15","-0.12","-0.16"
"13","H","Wol","yes",3,1,"1.25","-0.21","-0.38"
"14","A","Lee","yes",0,-1,"0.93","0.09","-0.29"
"15","H","ShU","yes",3,1,"2.15","-1.10","-1.38"
"16","H","MnU","yes",0,-1,"0.32","0.69","-0.70"
"17","A","WHU","yes",0,-1,"0.70","0.32","-0.38"
"18","A","Liv","yes",3,1,"0.76","0.26","-0.11"
"19","H","Ast","yes",3,1,"0.76","0.26","0.15"
"20","A","Che","yes",0,-2,"0.75","0.27","0.42"
"21","H","MnC","yes",0,-2,"0.28","0.73","1.14"
"22","H","BHA","yes",1,0,"1.23","-0.20","0.94"
"23","A","Pal","yes",3,3,"1.23","-0.20","0.74"
"24","H","Ful","yes",1,0,"1.31","-0.27","0.47"
"25","H","WBA","yes",1,0,"1.81","-0.76","-0.29"
"26","A","Tot","yes",0,-4,"0.74","0.28","-0.01"
"27","H","Lei","yes",1,0,"0.47","0.54","0.53"
"28","H","Ars","yes",1,0,"0.64","0.37","0.91"
"29","A","Eve","yes",3,1,"1.34","-0.30","0.60"
"30","A","Sot","yes",0,-1,"1.00","0.03","0.63"
"31","H","New","yes",0,-1,"1.13","-0.10","0.53"
"32","A","MnU","yes",0,-2,"0.87","0.15","0.69"
"33","A","Wol","yes",3,4,"1.11","-0.09","0.60"
"34","H","WHU","yes",0,-1,"0.74","0.28","0.88"
"35","A","Ful","yes",3,2,"2.09","-1.04","-0.16"
"36","H","Lee","yes",0,-4,"0.77","0.25","0.10"
"37","H","Liv","yes",0,-3,"0.54","0.47","0.57"
"38","A","ShU","yes",0,-1,"1.61","-0.57","0.00"
