"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","A","Tot","yes",3,"1.61","0.01","0.01"
"2","H","WBA","yes",3,"2.04","-0.25","-0.24"
"3","A","Pal","yes",3,"2.17","-0.33","-0.57"
"4","H","BHA","yes",3,"1.41","0.14","-0.44"
"5","H","Liv","yes",1,"0.94","0.42","-0.01"
"6","A","Sot","yes",0,"2.03","-0.25","-0.26"
"7","A","New","yes",0,"2.08","-0.28","-0.54"
"8","H","MnU","yes",0,"0.48","0.71","0.17"
"9","A","Ful","yes",3,"2.59","-0.59","-0.43"
"10","H","Lee","yes",0,"1.06","0.35","-0.08"
"11","A","Bur","yes",1,"2.24","-0.38","-0.46"
"12","H","Che","yes",3,"0.87","0.47","0.01"
"13","A","Lei","yes",3,"1.83","-0.12","-0.11"
"14","H","Ars","yes",3,"1.12","0.31","0.20"
"15","A","ShU","yes",3,"2.42","-0.49","-0.29"
"16","H","WHU","yes",0,"1.06","0.35","0.06"
"17","A","Wol","yes",3,"2.01","-0.23","-0.17"
"18","H","Lei","yes",1,"0.60","0.63","0.46"
"19","H","New","yes",0,"1.65","-0.02","0.44"
"20","A","Lee","yes",3,"2.02","-0.24","0.20"
"21","A","MnU","yes",1,"1.58","0.03","0.23"
"22","H","Ful","yes",0,"1.56","0.04","0.28"
"23","H","MnC","yes",0,"0.34","0.79","1.07"
"24","A","Liv","yes",3,"1.77","-0.08","0.98"
"25","H","Sot","yes",3,"1.74","-0.07","0.91"
"26","A","WBA","yes",3,"2.40","-0.47","0.44"
"27","A","Che","yes",0,"1.74","-0.07","0.37"
"28","H","Bur","yes",0,"1.59","0.02","0.39"
"29","H","Pal","yes",1,"1.41","0.14","0.53"
"30","A","BHA","yes",1,"2.46","-0.51","0.02"
"31","H","Tot","yes",1,"1.12","0.31","0.33"
"32","A","Ars","yes",3,"2.03","-0.25","0.08"
"33","H","Ast","no",NA,"1.12","0.31","0.39"
"34","A","WHU","no",NA,"1.55","0.05","0.44"
"35","H","ShU","no",NA,"2.55","-0.57","-0.12"
"36","H","Wol","no",NA,"1.42","0.13","0.00"
"37","A","MnC","no",NA,"1.16","0.29","0.29"
"38","A","Ast","no",NA,"2.11","-0.29","0.00"
