"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Ars","yes",0,-3,"0.43","0.47","0.47"
"2","A","Lee","yes",0,-1,"0.88","-0.08","0.39"
"3","H","Ast","yes",0,-3,"0.50","0.39","0.78"
"4","A","Wol","yes",0,-1,"1.03","-0.27","0.51"
"5","A","ShU","yes",1,0,"1.44","-0.77","-0.25"
"6","H","Pal","yes",0,-1,"0.78","0.05","-0.21"
"7","H","WBA","yes",3,2,"1.24","-0.52","-0.73"
"8","A","WHU","yes",0,-1,"0.69","0.16","-0.57"
"9","H","Eve","yes",0,-1,"0.34","0.59","0.01"
"10","A","Lei","yes",3,1,"0.94","-0.15","-0.14"
"11","A","MnC","yes",0,-2,"0.48","0.41","0.28"
"12","H","Liv","yes",1,0,"0.37","0.55","0.82"
"13","H","BHA","yes",1,0,"0.81","0.00","0.83"
"14","A","New","yes",1,0,"1.13","-0.38","0.45"
"15","H","Sot","yes",1,0,"1.00","-0.22","0.22"
"16","A","Tot","yes",1,0,"0.72","0.11","0.34"
"17","H","Che","yes",0,-1,"0.41","0.49","0.83"
"18","H","MnU","yes",0,-1,"0.23","0.71","1.54"
"19","A","BHA","yes",1,0,"1.22","-0.50","1.05"
"20","A","WBA","yes",1,0,"1.51","-0.85","0.20"
"21","H","Lei","yes",0,-2,"0.32","0.60","0.80"
"22","H","WHU","yes",1,0,"0.49","0.40","1.20"
"23","A","Eve","yes",3,2,"1.21","-0.48","0.72"
"24","A","Bur","yes",1,0,"1.38","-0.69","0.04"
"25","H","ShU","yes",3,1,"1.53","-0.88","-0.84"
"26","A","Pal","yes",1,0,"1.13","-0.38","-1.22"
"27","H","Tot","yes",0,-1,"0.54","0.34","-0.88"
"28","A","Liv","yes",3,1,"0.74","0.10","-0.78"
"29","H","MnC","yes",0,-3,"0.21","0.74","-0.04"
"30","H","Lee","yes",0,-1,"0.51","0.38","0.34"
"31","A","Ast","yes",0,-2,"1.05","-0.29","0.05"
"32","H","Wol","yes",0,-1,"0.82","-0.00","0.05"
"33","A","Ars","yes",1,0,"0.93","-0.14","-0.09"
"34","A","Che","yes",0,-2,"0.73","0.10","0.01"
"35","H","Bur","yes",0,-2,"0.77","0.06","0.07"
"36","A","Sot","yes",0,-2,"0.94","-0.15","-0.08"
"37","A","MnU","yes",1,0,"0.83","-0.01","-0.09"
"38","H","New","yes",0,-2,"0.74","0.09","0.00"
