"","HA","vs","played","Pts","ePts","sched","cumulative"
"1","H","Pal","yes",0,"2.01","0.02","0.02"
"2","A","BHA","yes",3,"2.62","-0.28","-0.26"
"3","H","Tot","yes",0,"1.75","0.14","-0.12"
"4","A","New","yes",3,"2.33","-0.14","-0.26"
"5","H","Che","yes",1,"1.59","0.22","-0.04"
"6","H","Ars","yes",0,"1.75","0.15","0.11"
"7","A","Eve","yes",3,"2.37","-0.16","-0.05"
"8","H","WBA","yes",3,"2.48","-0.21","-0.26"
"9","A","Sot","yes",3,"2.29","-0.12","-0.38"
"10","A","WHU","yes",3,"1.75","0.14","-0.24"
"11","H","MnC","yes",1,"0.69","0.66","0.43"
"12","A","ShU","yes",3,"2.66","-0.30","0.12"
"13","H","Lee","yes",3,"1.69","0.17","0.30"
"14","A","Lei","yes",1,"2.12","-0.04","0.26"
"15","H","Wol","yes",3,"2.03","0.01","0.27"
"16","H","Ast","yes",3,"1.75","0.15","0.42"
"17","A","Bur","yes",3,"2.45","-0.20","0.22"
"18","A","Liv","yes",1,"2.00","0.02","0.24"
"19","A","Ful","yes",3,"2.71","-0.33","-0.09"
"20","H","ShU","yes",0,"2.77","-0.35","-0.44"
"21","A","Ars","yes",1,"2.29","-0.12","-0.56"
"22","H","Sot","yes",3,"2.28","-0.12","-0.68"
"23","H","Eve","yes",1,"1.22","0.41","-0.28"
"24","A","WBA","yes",1,"2.57","-0.26","-0.53"
"25","H","New","yes",3,"2.23","-0.09","-0.63"
"26","A","Che","yes",1,"2.03","0.00","-0.62"
"27","A","Pal","yes",1,"2.40","-0.17","-0.79"
"28","A","MnC","yes",3,"1.48","0.28","-0.52"
"29","H","WHU","yes",3,"1.70","0.17","-0.35"
"30","H","BHA","yes",3,"1.91","0.07","-0.28"
"31","A","Tot","yes",3,"1.93","0.06","-0.22"
"32","H","Bur","yes",3,"2.16","-0.06","-0.28"
"33","A","Lee","no",NA,"2.28","-0.11","-0.39"
"34","H","Liv","no",NA,"1.55","0.24","-0.15"
"35","A","Ast","no",NA,"2.34","-0.15","-0.30"
"36","H","Lei","no",NA,"1.11","0.46","0.16"
"37","H","Ful","no",NA,"2.14","-0.05","0.11"
"38","A","Wol","no",NA,"2.27","-0.11","0.00"
