"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Sot","yes",3,2,"1.90","-0.64","-0.64"
"2","A","Lee","yes",1,0,"1.06","0.09","-0.56"
"3","A","BHA","yes",3,2,"1.14","0.02","-0.54"
"4","H","Bur","yes",3,2,"1.97","-0.70","-1.24"
"5","A","Ast","yes",0,-3,"0.72","0.38","-0.86"
"6","H","Nor","yes",3,2,"1.87","-0.61","-1.48"
"7","A","MnU","yes",1,0,"0.75","0.36","-1.12"
"8","H","WHU","yes",0,-1,"1.25","-0.08","-1.20"
"9","H","Wat","yes",0,-3,"1.86","-0.61","-1.81"
"10","A","Wol","yes",0,-1,"0.94","0.19","-1.62"
"11","H","Tot","yes",1,0,"1.50","-0.30","-1.92"
"12","A","MnC","yes",0,-3,"0.41","0.65","-1.27"
"13","A","Bre","yes",0,-1,"0.94","0.19","-1.08"
"14","H","Liv","yes",0,-3,"0.79","0.32","-0.76"
"15","H","Ars","yes",3,1,"1.56","-0.34","-1.11"
"16","A","Pal","yes",0,-2,"0.87","0.25","-0.86"
"17","A","Che","yes",1,0,"0.58","0.50","-0.36"
"18","A","Bur","no",NA,NA,"1.18","-0.02","-0.38"
"19","H","New","no",NA,NA,"2.15","-0.86","-1.23"
"20","H","BHA","no",NA,NA,"1.42","-0.22","-1.46"
"21","A","Nor","no",NA,NA,"1.52","-0.31","-1.77"
"22","H","Ast","no",NA,NA,"1.58","-0.37","-2.14"
"23","A","New","no",NA,NA,"1.31","-0.13","-2.27"
"24","H","Lee","no",NA,NA,"1.98","-0.71","-2.98"
"25","A","Sot","no",NA,NA,"0.90","0.22","-2.76"
"26","H","MnC","no",NA,NA,"0.53","0.54","-2.22"
"27","A","Tot","no",NA,NA,"0.38","0.67","-1.55"
"28","H","Wol","no",NA,NA,"1.33","-0.15","-1.70"
"29","A","Wat","no",NA,NA,"1.07","0.07","-1.62"
"30","A","WHU","no",NA,NA,"0.56","0.52","-1.11"
"31","H","MnU","no",NA,NA,"1.09","0.06","-1.05"
"32","H","Pal","no",NA,NA,"1.69","-0.46","-1.51"
"33","A","Liv","no",NA,NA,"0.35","0.70","-0.81"
"34","H","Che","no",NA,NA,"0.64","0.45","-0.36"
"35","A","Lei","no",NA,NA,"0.67","0.42","0.06"
"36","H","Bre","no",NA,NA,"1.51","-0.31","-0.25"
"37","A","Ars","no",NA,NA,"0.35","0.69","0.45"
"38","H","Lei","no",NA,NA,"1.68","-0.45","0.00"
