"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","Wol","yes",3,1,"1.49","-0.13","-0.13"
"2","A","WHU","yes",0,-3,"0.77","0.41","0.28"
"3","A","Nor","yes",3,1,"1.67","-0.28","0.00"
"4","H","MnC","yes",0,-1,"0.60","0.54","0.54"
"5","A","BHA","yes",0,-1,"1.34","-0.02","0.52"
"6","H","Bur","yes",1,0,"2.03","-0.55","-0.03"
"7","A","Pal","yes",1,0,"1.20","0.09","0.06"
"8","H","MnU","yes",3,2,"1.22","0.07","0.13"
"9","A","Bre","yes",3,1,"1.23","0.06","0.19"
"10","H","Ars","yes",0,-2,"1.77","-0.35","-0.16"
"11","A","Lee","yes",1,0,"1.23","0.06","-0.10"
"12","H","Che","yes",0,-3,"0.60","0.54","0.45"
"13","H","Wat","yes",3,2,"1.89","-0.44","0.00"
"14","A","Sot","yes",1,0,"1.18","0.10","0.10"
"15","A","Ast","yes",0,-1,"0.96","0.27","0.37"
"16","H","New","no",NA,NA,"2.12","-0.61","-0.25"
"17","H","Tot","no",NA,NA,"1.57","-0.20","-0.44"
"18","A","Eve","no",NA,NA,"1.05","0.20","-0.24"
"19","A","MnC","no",NA,NA,"0.62","0.53","0.28"
"20","H","Liv","no",NA,NA,"0.78","0.41","0.69"
"21","H","Nor","no",NA,NA,"1.92","-0.47","0.22"
"22","A","Bur","no",NA,NA,"1.52","-0.16","0.07"
"23","H","BHA","no",NA,NA,"1.47","-0.12","-0.06"
"24","A","Liv","no",NA,NA,"0.60","0.54","0.49"
"25","H","WHU","no",NA,NA,"1.12","0.14","0.63"
"26","A","Wol","no",NA,NA,"1.25","0.05","0.68"
"27","A","Che","no",NA,NA,"0.78","0.40","1.08"
"28","H","Lee","no",NA,NA,"1.91","-0.46","0.62"
"29","A","Ars","no",NA,NA,"0.63","0.52","1.14"
"30","H","Bre","no",NA,NA,"1.55","-0.18","0.96"
"31","A","MnU","no",NA,NA,"1.01","0.23","1.19"
"32","H","Pal","no",NA,NA,"1.75","-0.34","0.85"
"33","A","New","no",NA,NA,"1.57","-0.20","0.66"
"34","H","Ast","no",NA,NA,"1.71","-0.30","0.35"
"35","A","Tot","no",NA,NA,"0.51","0.61","0.97"
"36","H","Eve","no",NA,NA,"1.90","-0.45","0.52"
"37","A","Wat","no",NA,NA,"1.38","-0.06","0.46"
"38","H","Sot","no",NA,NA,"1.91","-0.46","0.00"
