"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","A","Nor","yes",3,3,"2.60","-0.14","-0.14"
"2","H","Bur","yes",3,2,"2.66","-0.17","-0.32"
"3","H","Che","yes",1,0,"1.84","0.19","-0.12"
"4","A","Lee","yes",3,3,"2.48","-0.09","-0.22"
"5","H","Pal","yes",3,3,"2.54","-0.12","-0.33"
"6","A","Bre","yes",1,0,"2.25","0.01","-0.32"
"7","H","MnC","yes",1,0,"1.39","0.39","0.06"
"8","A","Wat","yes",3,5,"2.70","-0.19","-0.12"
"9","A","MnU","yes",3,5,"1.87","0.18","0.05"
"10","H","BHA","yes",1,0,"2.25","0.01","0.07"
"11","A","WHU","yes",0,-1,"2.03","0.11","0.17"
"12","H","Ars","yes",3,4,"2.30","-0.01","0.16"
"13","H","Sot","yes",3,4,"2.64","-0.16","-0.00"
"14","A","Eve","yes",3,3,"2.09","0.08","0.08"
"15","A","Wol","yes",3,1,"2.28","-0.00","0.08"
"16","H","Ast","yes",3,1,"2.48","-0.09","-0.02"
"17","H","New","yes",3,2,"2.61","-0.15","-0.16"
"18","A","Tot","yes",1,0,"1.66","0.27","0.11"
"19","A","Lei","yes",0,-1,"1.94","0.14","0.25"
"20","A","Che","yes",1,0,"1.95","0.14","0.39"
"21","H","Bre","yes",3,3,"2.54","-0.12","0.27"
"22","A","Pal","yes",3,2,"2.18","0.04","0.31"
"23","H","Lei","yes",3,2,"2.63","-0.16","0.16"
"24","A","Bur","yes",3,1,"2.34","-0.03","0.13"
"25","H","Nor","yes",3,2,"2.74","-0.21","-0.08"
"26","H","Lee","yes",3,6,"2.58","-0.13","-0.21"
"27","H","WHU","yes",3,1,"2.40","-0.06","-0.27"
"28","A","BHA","yes",3,2,"2.43","-0.07","-0.34"
"29","A","Ars","yes",3,2,"1.58","0.30","-0.04"
"30","H","Wat","yes",3,2,"2.62","-0.15","-0.19"
"31","A","MnC","yes",1,0,"1.26","0.44","0.26"
"32","H","MnU","yes",3,4,"2.45","-0.08","0.18"
"33","H","Eve","yes",3,2,"2.74","-0.21","-0.03"
"34","A","New","yes",3,1,"2.15","0.06","0.03"
"35","H","Tot","yes",1,0,"2.27","-0.00","0.03"
"36","A","Ast","yes",3,1,"2.30","-0.01","0.02"
"37","A","Sot","no",NA,NA,"2.24","0.01","0.03"
"38","H","Wol","no",NA,NA,"2.34","-0.03","-0.00"
