"","HA","vs","played","Pts","GD","ePts","sched","cumulative"
"1","H","WHU","yes",0,-2,"0.75","0.16","0.16"
"2","A","Ast","yes",0,-2,"0.76","0.15","0.31"
"3","H","Sot","yes",1,0,"1.13","-0.27","0.05"
"4","A","MnU","yes",0,-3,"0.63","0.30","0.34"
"5","H","Lee","yes",1,0,"1.33","-0.49","-0.14"
"6","A","Wat","yes",1,0,"1.29","-0.44","-0.58"
"7","A","Wol","yes",0,-1,"0.87","0.02","-0.56"
"8","H","Tot","yes",0,-1,"0.90","-0.01","-0.57"
"9","A","Pal","yes",1,0,"0.81","0.10","-0.47"
"10","H","Che","yes",0,-3,"0.47","0.47","0.00"
"11","A","BHA","yes",1,0,"0.91","-0.02","-0.02"
"12","H","Bre","yes",1,0,"1.30","-0.46","-0.48"
"13","A","Ars","yes",0,-2,"0.43","0.52","0.04"
"14","H","Nor","yes",1,0,"1.41","-0.58","-0.53"
"15","H","Bur","yes",3,1,"1.57","-0.75","-1.28"
"16","A","Lei","yes",0,-4,"0.60","0.33","-0.95"
"17","A","Liv","yes",0,-2,"0.26","0.71","-0.25"
"18","H","MnC","yes",0,-4,"0.28","0.68","0.44"
"19","H","MnU","yes",1,0,"0.79","0.11","0.55"
"20","H","Wat","yes",1,0,"1.50","-0.68","-0.13"
"21","A","Lee","yes",3,1,"1.03","-0.15","-0.28"
"22","H","Eve","yes",3,2,"1.65","-0.84","-1.13"
"23","H","Ast","no",NA,1,"1.08","-0.21","-1.33"
"24","A","WHU","no",NA,NA,"0.65","0.27","-1.06"
"25","A","Bre","no",NA,NA,"0.96","-0.07","-1.13"
"26","H","BHA","no",NA,NA,"0.80","0.11","-1.02"
"27","A","Che","no",NA,NA,"0.51","0.43","-0.59"
"28","H","Pal","no",NA,NA,"1.34","-0.50","-1.09"
"29","A","Tot","no",NA,NA,"0.50","0.44","-0.65"
"30","H","Wol","no",NA,NA,"0.59","0.34","-0.31"
"31","H","Lei","no",NA,NA,"1.25","-0.39","-0.71"
"32","A","Nor","no",NA,NA,"1.33","-0.49","-1.20"
"33","H","Liv","no",NA,NA,"0.54","0.40","-0.80"
"34","A","MnC","no",NA,NA,"0.24","0.73","-0.06"
"35","H","Ars","no",NA,NA,"0.86","0.04","-0.03"
"36","A","Bur","no",NA,NA,"1.16","-0.30","-0.32"
"37","A","Eve","no",NA,NA,"0.79","0.12","-0.21"
"38","A","Sot","no",NA,NA,"0.71","0.21","-0.00"
